Date,Adj Close_SIS.NS,Close_SIS.NS,High_SIS.NS,Low_SIS.NS,Open_SIS.NS,Volume_SIS.NS,Date
2020-07-13,366.70001220703125,366.70001220703125,375.8999938964844,359.70001220703125,375.8999938964844,46086,2020-07-13
2020-07-20,345.8500061035156,345.8500061035156,370.45001220703125,344.5,363.0,946287,2020-07-20
2020-07-27,361.25,361.25,379.0,336.25,346.1499938964844,1180122,2020-07-27
2020-08-03,362.79998779296875,362.79998779296875,372.1000061035156,356.45001220703125,363.3999938964844,262138,2020-08-03
2020-08-10,372.6499938964844,372.6499938964844,387.75,366.29998779296875,383.5,382168,2020-08-10
2020-08-17,387.29998779296875,387.29998779296875,400.0,371.75,377.79998779296875,278928,2020-08-17
2020-08-24,391.6499938964844,391.6499938964844,423.8500061035156,384.04998779296875,388.1000061035156,1656398,2020-08-24
2020-08-31,360.6000061035156,360.6000061035156,396.75,351.0,392.0,398216,2020-08-31
2020-09-07,361.6499938964844,361.6499938964844,368.70001220703125,341.0,362.45001220703125,202554,2020-09-07
2020-09-14,380.54998779296875,380.54998779296875,391.95001220703125,360.25,365.0,488344,2020-09-14
2020-09-21,378.20001220703125,378.20001220703125,396.0,354.25,395.0,442262,2020-09-21
2020-09-28,366.45001220703125,366.45001220703125,381.5,365.0,380.0,90600,2020-09-28
2020-10-05,359.79998779296875,359.79998779296875,379.0,358.0,373.70001220703125,301671,2020-10-05
2020-10-12,349.0,349.0,368.95001220703125,347.04998779296875,361.6499938964844,98373,2020-10-12
2020-10-19,362.54998779296875,362.54998779296875,365.70001220703125,347.54998779296875,350.75,256545,2020-10-19
2020-10-26,370.20001220703125,370.20001220703125,403.70001220703125,350.0,364.3999938964844,1149402,2020-10-26
2020-11-02,375.20001220703125,375.20001220703125,399.8999938964844,368.79998779296875,372.0,796143,2020-11-02
2020-11-09,390.75,390.75,418.5,359.0,380.8999938964844,686348,2020-11-09
2020-11-16,375.70001220703125,375.70001220703125,403.0,372.54998779296875,373.3999938964844,601479,2020-11-16
2020-11-23,446.6499938964844,446.6499938964844,450.0,380.1499938964844,384.0,2210004,2020-11-23
2020-11-30,452.45001220703125,452.45001220703125,475.0,433.0,446.6499938964844,894001,2020-11-30
2020-12-07,439.5,439.5,467.95001220703125,432.6499938964844,455.0,468185,2020-12-07
2020-12-14,464.6000061035156,464.6000061035156,477.3999938964844,441.04998779296875,441.8500061035156,929878,2020-12-14
2020-12-21,436.6499938964844,436.6499938964844,466.0,408.8500061035156,460.5,431485,2020-12-21
2020-12-28,429.1000061035156,429.1000061035156,451.5,422.3500061035156,442.0,698048,2020-12-28
2021-01-04,425.3500061035156,425.3500061035156,433.20001220703125,405.8500061035156,433.0,1020125,2021-01-04
2021-01-11,404.6499938964844,404.6499938964844,428.8999938964844,400.29998779296875,428.8999938964844,612911,2021-01-11
2021-01-18,399.79998779296875,399.79998779296875,415.0,399.0,409.95001220703125,489778,2021-01-18
2021-01-25,401.54998779296875,401.54998779296875,407.0,385.0,400.1000061035156,285837,2021-01-25
2021-02-01,407.20001220703125,407.20001220703125,420.0,396.04998779296875,400.0,1256764,2021-02-01
2021-02-08,432.04998779296875,432.04998779296875,433.5,405.1000061035156,415.0,1508219,2021-02-08
2021-02-15,430.04998779296875,430.04998779296875,459.0,423.1499938964844,434.0,2556972,2021-02-15
2021-02-22,428.95001220703125,428.95001220703125,440.75,415.0,432.29998779296875,642445,2021-02-22
2021-03-01,422.45001220703125,422.45001220703125,435.29998779296875,413.1499938964844,434.0,576708,2021-03-01
2021-03-08,420.25,420.25,428.8500061035156,411.70001220703125,425.45001220703125,390307,2021-03-08
2021-03-15,405.5,405.5,424.95001220703125,400.1000061035156,424.95001220703125,393181,2021-03-15
2021-03-22,392.75,392.75,417.5,391.25,407.54998779296875,680829,2021-03-22
2021-03-29,404.79998779296875,404.79998779296875,408.0,389.04998779296875,392.75,444239,2021-03-29
2021-04-05,391.79998779296875,391.79998779296875,413.79998779296875,391.1499938964844,411.0,897276,2021-04-05
2021-04-12,369.45001220703125,369.45001220703125,388.45001220703125,365.0,386.0,394062,2021-04-12
2021-04-19,359.79998779296875,359.79998779296875,374.8999938964844,356.75,368.1000061035156,341758,2021-04-19
2021-04-26,361.45001220703125,361.45001220703125,394.0,353.8500061035156,359.75,3422369,2021-04-26
2021-05-03,372.45001220703125,372.45001220703125,377.5,360.0,361.75,1645559,2021-05-03
2021-05-10,398.95001220703125,398.95001220703125,406.0,370.0,376.79998779296875,1482358,2021-05-10
2021-05-17,415.0,415.0,416.79998779296875,394.1000061035156,400.0,2356788,2021-05-17
