Date,Adj Close_GOCOLORS.NS,Close_GOCOLORS.NS,High_GOCOLORS.NS,Low_GOCOLORS.NS,Open_GOCOLORS.NS,Volume_GOCOLORS.NS,Date
2021-11-29,1247.75,1247.75,1339.9000244140625,1143.0999755859375,1310.0,26322402,2021-11-29
2021-12-06,1210.3499755859375,1210.3499755859375,1289.4000244140625,1163.1500244140625,1245.0,2472870,2021-12-06
2021-12-13,1154.0,1154.0,1211.050048828125,1050.0,1210.3499755859375,923585,2021-12-13
2021-12-20,1132.9000244140625,1132.9000244140625,1156.3499755859375,960.5499877929688,1096.0,1894629,2021-12-20
2021-12-27,1070.0,1070.0,1123.0,1006.2999877929688,1095.0,1514680,2021-12-27
2022-01-03,1047.25,1047.25,1085.0,1028.300048828125,1050.0,882533,2022-01-03
2022-01-10,1063.9000244140625,1063.9000244140625,1074.9000244140625,1020.0999755859375,1047.0,870846,2022-01-10
2022-01-17,1074.25,1074.25,1133.699951171875,1045.5999755859375,1063.1500244140625,511436,2022-01-17
2022-01-24,967.5999755859375,967.5999755859375,1085.0,912.9500122070312,1075.0,810312,2022-01-24
2022-01-31,1015.6500244140625,1015.6500244140625,1060.0,933.9500122070312,970.0,759321,2022-01-31
2022-02-07,988.9500122070312,988.9500122070312,1085.0,970.0999755859375,1026.050048828125,640511,2022-02-07
2022-02-14,950.0999755859375,950.0999755859375,976.5,932.0499877929688,970.1500244140625,345648,2022-02-14
2022-02-21,917.0499877929688,917.0499877929688,950.0999755859375,869.0499877929688,950.0,539740,2022-02-21
2022-02-28,940.0,940.0,980.5999755859375,861.0,900.0,366331,2022-02-28
2022-03-07,885.3499755859375,885.3499755859375,931.9000244140625,847.2999877929688,931.9000244140625,458549,2022-03-07
2022-03-14,950.4000244140625,950.4000244140625,968.9500122070312,861.0499877929688,885.0,233671,2022-03-14
2022-03-21,965.25,965.25,995.0,917.0999755859375,958.0,257435,2022-03-21
2022-03-28,995.4000244140625,995.4000244140625,1039.0,932.0499877929688,947.5499877929688,403215,2022-03-28
2022-04-04,995.4500122070312,995.4500122070312,1000.5499877929688,976.3499755859375,999.0,673511,2022-04-04
2022-04-11,1019.5499877929688,1019.5499877929688,1037.949951171875,977.0,1024.0,243706,2022-04-11
2022-04-18,1041.3499755859375,1041.3499755859375,1074.0,978.7999877929688,1014.0,225508,2022-04-18
2022-04-25,1001.0,1001.0,1039.0,981.2000122070312,1025.800048828125,171475,2022-04-25
2022-05-02,981.0999755859375,981.0999755859375,1035.0,940.8499755859375,999.9500122070312,160701,2022-05-02
2022-05-09,975.9500122070312,975.9500122070312,1026.9000244140625,903.0,988.0,356452,2022-05-09
2022-05-16,1112.050048828125,1112.050048828125,1130.0,967.2999877929688,990.0,351577,2022-05-16
2022-05-23,1027.4000244140625,1027.4000244140625,1156.800048828125,1012.0,1112.0,573137,2022-05-23
2022-05-30,988.8499755859375,988.8499755859375,1049.0,970.8499755859375,1048.0,586660,2022-05-30
2022-06-06,1006.5499877929688,1006.5499877929688,1009.0,975.5,981.0499877929688,154873,2022-06-06
2022-06-13,924.6500244140625,924.6500244140625,1024.0,906.7000122070312,986.4500122070312,115057,2022-06-13
2022-06-20,1000.75,1000.75,1036.0,874.0,917.0,545584,2022-06-20
2022-06-27,986.0,986.0,1034.0,980.0,1000.75,105567,2022-06-27
2022-07-04,996.9500122070312,996.9500122070312,1025.0,980.0,986.0,63207,2022-07-04
2022-07-11,979.7000122070312,979.7000122070312,1010.0,960.0,996.9500122070312,173106,2022-07-11
2022-07-18,991.1500244140625,991.1500244140625,1018.75,978.7000122070312,998.0,126481,2022-07-18
2022-07-25,1050.25,1050.25,1060.0,989.3499755859375,1000.0,113662,2022-07-25
2022-08-01,1116.5,1116.5,1152.0,1046.3499755859375,1085.0,310221,2022-08-01
2022-08-08,1080.6500244140625,1080.6500244140625,1138.25,1066.449951171875,1125.0,563511,2022-08-08
2022-08-15,1108.4000244140625,1108.4000244140625,1224.0,1080.6500244140625,1080.6500244140625,871446,2022-08-15
2022-08-22,1138.550048828125,1138.550048828125,1199.0,1072.0,1094.0,645613,2022-08-22
2022-08-29,1167.9000244140625,1167.9000244140625,1178.9000244140625,1080.0,1095.0,145089,2022-08-29
2022-09-05,1256.050048828125,1256.050048828125,1274.0,1172.050048828125,1178.0,261191,2022-09-05
2022-09-12,1283.25,1283.25,1315.0,1249.050048828125,1265.0,228507,2022-09-12
2022-09-19,1295.0,1295.0,1324.0,1185.0,1289.699951171875,549684,2022-09-19
2022-09-26,1318.1500244140625,1318.1500244140625,1374.5999755859375,1245.3499755859375,1278.5,461934,2022-09-26
2022-10-03,1394.050048828125,1394.050048828125,1445.0,1287.0,1329.0,357006,2022-10-03
2022-10-10,1326.6500244140625,1326.6500244140625,1392.6500244140625,1311.0999755859375,1390.0,137150,2022-10-10
2022-10-17,1357.199951171875,1357.199951171875,1434.0,1321.949951171875,1337.800048828125,351533,2022-10-17
2022-10-24,1399.300048828125,1399.300048828125,1417.0,1340.550048828125,1380.0,108187,2022-10-24
2022-10-31,1353.5,1353.5,1453.0,1326.0,1398.5,250119,2022-10-31
2022-11-07,1234.449951171875,1234.449951171875,1365.949951171875,1215.050048828125,1360.0,194015,2022-11-07
2022-11-14,1176.449951171875,1176.449951171875,1236.949951171875,1123.0,1234.449951171875,299019,2022-11-14
2022-11-21,1136.3499755859375,1136.3499755859375,1190.0,1127.0,1178.6500244140625,358898,2022-11-21
2022-11-28,1196.800048828125,1196.800048828125,1353.199951171875,1115.0,1134.0,551173,2022-11-28
2022-12-05,1187.1500244140625,1187.1500244140625,1210.0,1126.6500244140625,1210.0,3094668,2022-12-05
2022-12-12,1191.25,1191.25,1235.0,1161.050048828125,1170.0,217497,2022-12-12
2022-12-19,1110.4000244140625,1110.4000244140625,1212.0,1100.5999755859375,1189.9000244140625,161340,2022-12-19
2022-12-26,1197.1500244140625,1197.1500244140625,1230.0,1113.4000244140625,1127.050048828125,222149,2022-12-26
2023-01-02,1169.8499755859375,1169.8499755859375,1219.699951171875,1154.5,1204.699951171875,113474,2023-01-02
2023-01-09,1179.0999755859375,1179.0999755859375,1227.8499755859375,1147.550048828125,1172.0,174029,2023-01-09
2023-01-16,1161.25,1161.25,1199.9000244140625,1154.550048828125,1179.0999755859375,229184,2023-01-16
2023-01-23,1095.800048828125,1095.800048828125,1165.0999755859375,1036.550048828125,1162.0,157383,2023-01-23
2023-01-30,1059.1500244140625,1059.1500244140625,1094.449951171875,1023.2999877929688,1080.0,260952,2023-01-30
2023-02-06,998.7999877929688,998.7999877929688,1069.300048828125,995.0,1067.699951171875,310016,2023-02-06
2023-02-13,970.2000122070312,970.2000122070312,1025.75,966.0999755859375,1000.0,251799,2023-02-13
2023-02-20,928.5499877929688,928.5499877929688,1032.0,925.0,975.0,619542,2023-02-20
2023-02-27,955.8499755859375,955.8499755859375,973.7000122070312,876.0499877929688,917.0,619138,2023-02-27
2023-03-06,960.4500122070312,960.4500122070312,984.9000244140625,937.4500122070312,970.2000122070312,184082,2023-03-06
2023-03-13,949.4500122070312,949.4500122070312,979.0,925.0999755859375,964.7000122070312,315784,2023-03-13
2023-03-20,951.0499877929688,951.0499877929688,965.0,924.2999877929688,937.0,234413,2023-03-20
2023-03-27,1004.6500244140625,1004.6500244140625,1020.4000244140625,929.0,945.5,160934,2023-03-27
2023-04-03,1014.9000244140625,1014.9000244140625,1038.949951171875,986.1500244140625,1004.0,101884,2023-04-03
2023-04-10,1008.2999877929688,1008.2999877929688,1048.0,987.0,1023.7000122070312,86877,2023-04-10
2023-04-17,1031.6500244140625,1031.6500244140625,1035.0,982.0,1008.2999877929688,76452,2023-04-17
2023-04-24,1074.0999755859375,1074.0999755859375,1092.3499755859375,1019.9500122070312,1031.949951171875,91862,2023-04-24
2023-05-01,1122.800048828125,1122.800048828125,1141.0,1061.4000244140625,1074.0999755859375,243462,2023-05-01
2023-05-08,1101.300048828125,1101.300048828125,1148.0,1094.5,1119.75,366868,2023-05-08
2023-05-15,1125.3499755859375,1125.3499755859375,1150.5,1095.0999755859375,1101.300048828125,69193,2023-05-15
2023-05-22,1115.0999755859375,1115.0999755859375,1170.0,1083.800048828125,1125.050048828125,280041,2023-05-22
2023-05-29,1099.5,1099.5,1148.0,1069.0999755859375,1124.699951171875,184047,2023-05-29
2023-06-05,1194.5999755859375,1194.5999755859375,1275.0,1109.0,1109.0,196533,2023-06-05
2023-06-12,1130.449951171875,1130.449951171875,1153.699951171875,1082.0,1150.0,10487259,2023-06-12
2023-06-19,1139.4000244140625,1139.4000244140625,1146.0,1102.0,1135.0999755859375,365203,2023-06-19
2023-06-26,1136.9000244140625,1136.9000244140625,1149.949951171875,1112.5999755859375,1144.699951171875,271992,2023-06-26
2023-07-03,1096.9000244140625,1096.9000244140625,1153.0,1090.550048828125,1141.0,350274,2023-07-03
2023-07-10,1130.449951171875,1130.449951171875,1145.0,1090.0,1096.9000244140625,347400,2023-07-10
2023-07-17,1146.5,1146.5,1174.0999755859375,1116.0999755859375,1144.0,437260,2023-07-17
2023-07-24,1170.3499755859375,1170.3499755859375,1183.5999755859375,1138.0,1154.949951171875,542361,2023-07-24
2023-07-31,1238.5999755859375,1238.5999755859375,1320.0,1170.3499755859375,1181.449951171875,992609,2023-07-31
2023-08-07,1257.3499755859375,1257.3499755859375,1271.800048828125,1215.0,1259.449951171875,254647,2023-08-07
2023-08-14,1245.949951171875,1245.949951171875,1282.6500244140625,1234.949951171875,1260.4000244140625,425837,2023-08-14
2023-08-21,1280.6500244140625,1280.6500244140625,1299.75,1205.800048828125,1256.949951171875,301943,2023-08-21
2023-08-28,1352.5,1352.5,1365.949951171875,1265.0,1280.050048828125,315322,2023-08-28
2023-09-04,1380.6500244140625,1380.6500244140625,1400.0,1342.949951171875,1375.0,198272,2023-09-04
2023-09-11,1387.8499755859375,1387.8499755859375,1404.699951171875,1355.050048828125,1365.0,200899,2023-09-11
2023-09-18,1295.699951171875,1295.699951171875,1399.0,1273.0,1399.0,211844,2023-09-18
2023-09-25,1268.6500244140625,1268.6500244140625,1324.9000244140625,1246.3499755859375,1315.1500244140625,121946,2023-09-25
2023-10-02,1292.6500244140625,1292.6500244140625,1308.5999755859375,1243.0999755859375,1268.6500244140625,173372,2023-10-02
2023-10-09,1299.449951171875,1299.449951171875,1328.949951171875,1240.0,1272.0,345029,2023-10-09
2023-10-16,1311.199951171875,1311.199951171875,1323.75,1268.0999755859375,1314.0,250114,2023-10-16
2023-10-23,1257.25,1257.25,1335.0,1229.9000244140625,1311.199951171875,334801,2023-10-23
2023-10-30,1249.0,1249.0,1289.5,1214.0999755859375,1270.0,359611,2023-10-30
2023-11-06,1238.75,1238.75,1279.949951171875,1220.75,1260.0,245086,2023-11-06
2023-11-13,1231.4000244140625,1231.4000244140625,1267.0,1197.5,1267.0,190295,2023-11-13
2023-11-20,1273.25,1273.25,1284.75,1219.699951171875,1243.9000244140625,2013483,2023-11-20
2023-11-27,1330.4000244140625,1330.4000244140625,1348.3499755859375,1270.4000244140625,1273.25,398723,2023-11-27
2023-12-04,1301.5999755859375,1301.5999755859375,1356.550048828125,1275.0,1345.699951171875,360344,2023-12-04
2023-12-11,1292.949951171875,1292.949951171875,1335.0,1261.550048828125,1314.5,389401,2023-12-11
2023-12-18,1283.550048828125,1283.550048828125,1308.3499755859375,1262.0999755859375,1294.0,341845,2023-12-18
2023-12-25,1251.699951171875,1251.699951171875,1305.0,1200.050048828125,1283.550048828125,803890,2023-12-25
2024-01-01,1230.449951171875,1230.449951171875,1247.5,1209.949951171875,1240.050048828125,462833,2024-01-01
2024-01-08,1168.300048828125,1168.300048828125,1237.0,1162.0,1234.300048828125,512229,2024-01-08
2024-01-15,1159.949951171875,1159.949951171875,1198.199951171875,1126.050048828125,1168.300048828125,422391,2024-01-15
2024-01-22,1116.050048828125,1116.050048828125,1165.449951171875,1059.4000244140625,1159.949951171875,235660,2024-01-22
2024-01-29,1067.8499755859375,1067.8499755859375,1134.800048828125,1063.0,1115.0,254607,2024-01-29
2024-02-05,1176.4000244140625,1176.4000244140625,1264.800048828125,1035.0,1072.0,1175225,2024-02-05
2024-02-12,1190.4000244140625,1190.4000244140625,1219.9000244140625,1128.0999755859375,1200.0,730293,2024-02-12
2024-02-19,1144.300048828125,1144.300048828125,1196.800048828125,1130.75,1195.6500244140625,209270,2024-02-19
2024-02-26,1135.25,1135.25,1166.0,1121.699951171875,1144.0,173296,2024-02-26
2024-03-04,1100.050048828125,1100.050048828125,1143.199951171875,1082.75,1134.0,241978,2024-03-04
2024-03-11,1024.300048828125,1024.300048828125,1124.949951171875,1011.4000244140625,1096.1500244140625,679337,2024-03-11
2024-03-18,1091.0999755859375,1091.0999755859375,1114.0,1004.9000244140625,1028.449951171875,483104,2024-03-18
2024-03-25,1205.199951171875,1205.199951171875,1246.9000244140625,1056.300048828125,1091.0999755859375,400099,2024-03-25
2024-04-01,1199.949951171875,1199.949951171875,1275.0,1191.550048828125,1208.050048828125,346764,2024-04-01
2024-04-08,1156.050048828125,1156.050048828125,1207.800048828125,1141.699951171875,1200.0,312863,2024-04-08
2024-04-15,1163.550048828125,1163.550048828125,1174.949951171875,1113.5,1135.0,62508,2024-04-15
2024-04-22,1111.5,1111.5,1179.9000244140625,1100.1500244140625,1150.0,124118,2024-04-22
2024-04-29,1043.3499755859375,1043.3499755859375,1135.0,933.2999877929688,1111.5,402777,2024-04-29
2024-05-06,955.2000122070312,955.2000122070312,1055.0,948.0,1043.3499755859375,696783,2024-05-06
2024-05-13,1028.5,1028.5,1045.0,938.0,967.9500122070312,738008,2024-05-13
2024-05-20,996.25,996.25,1029.9000244140625,990.0,1014.75,161492,2024-05-20
2024-05-27,964.4500122070312,964.4500122070312,1024.0,957.3499755859375,997.25,222995,2024-05-27
2024-06-03,1042.0999755859375,1042.0999755859375,1054.3499755859375,968.0,995.0,244908,2024-06-03
2024-06-10,1062.699951171875,1062.699951171875,1079.699951171875,1031.550048828125,1050.0,261325,2024-06-10
2024-06-17,1053.75,1053.75,1100.949951171875,1039.300048828125,1062.699951171875,150871,2024-06-17
2024-06-24,1016.5499877929688,1016.5499877929688,1067.9000244140625,1007.25,1064.300048828125,385506,2024-06-24
2024-07-01,1033.25,1033.25,1076.0,1013.5,1013.5,137742,2024-07-01
2024-07-08,1081.3499755859375,1081.3499755859375,1090.0,1012.2999877929688,1039.800048828125,395645,2024-07-08
2024-07-15,1044.5999755859375,1044.5999755859375,1099.9000244140625,1040.0,1097.9000244140625,458936,2024-07-15
2024-07-22,1158.949951171875,1158.949951171875,1179.9000244140625,1005.5999755859375,1054.0,912685,2024-07-22
