Date,Adj Close_TASTYBITE.NS,Close_TASTYBITE.NS,High_TASTYBITE.NS,Low_TASTYBITE.NS,Open_TASTYBITE.NS,Volume_TASTYBITE.NS,Date
2020-07-13,12183.5400390625,12192.0498046875,12444.0,11400.0,11899.0,3207,2020-07-13
2020-07-20,11629.4248046875,11635.5498046875,12449.0,11551.0,12300.0,4913,2020-07-20
2020-07-27,11780.9462890625,11787.150390625,12250.0,11066.0,11602.0,6765,2020-07-27
2020-08-03,11977.34375,11983.650390625,13198.0,11526.0,11950.0498046875,24767,2020-08-03
2020-08-10,12240.302734375,12246.75,12700.0,11983.599609375,11983.599609375,9040,2020-08-10
2020-08-17,13112.09375,13119.0,13605.2998046875,12000.0,12430.7001953125,8406,2020-08-17
2020-08-24,12694.3154296875,12701.0,13499.0,12650.0,13250.0,10443,2020-08-24
2020-08-31,11852.0576171875,11858.2998046875,12700.0,11500.0,12700.0,6569,2020-08-31
2020-09-07,11365.064453125,11371.0498046875,12011.650390625,10551.0,11858.2998046875,6286,2020-09-07
2020-09-14,11423.68359375,11429.7001953125,12178.849609375,11372.0,11372.0,6533,2020-09-14
2020-09-21,10529.455078125,10535.0,11499.9501953125,9801.0,11450.0,8249,2020-09-21
2020-09-28,10615.859375,10621.4501953125,10944.9501953125,10155.099609375,10651.0,3150,2020-09-28
2020-10-05,10508.4150390625,10513.9501953125,11190.0,10410.0,10700.0,4260,2020-10-05
2020-10-12,10499.51953125,10505.0498046875,10950.0,10350.0,10774.0,3882,2020-10-12
2020-10-19,10258.84765625,10264.25,10690.0498046875,10195.400390625,10690.0498046875,3725,2020-10-19
2020-10-26,9998.5341796875,10003.7998046875,10650.0,9980.0,10400.0,4052,2020-10-26
2020-11-02,10662.28515625,10667.900390625,10900.0,9950.0,9990.0,5134,2020-11-02
2020-11-09,11818.0263671875,11824.25,12000.0,10151.0,10601.0,14383,2020-11-09
2020-11-16,11137.0341796875,11142.900390625,11824.0,10905.0498046875,11602.5498046875,5048,2020-11-16
2020-11-23,11409.9404296875,11415.9501953125,11760.0,11161.0498046875,11161.0498046875,5822,2020-11-23
2020-11-30,11167.26953125,11173.150390625,11600.0,11042.4501953125,11415.9501953125,4051,2020-11-30
2020-12-07,10927.3955078125,10933.150390625,11450.0,10725.0,11290.0,6260,2020-12-07
2020-12-14,11340.0283203125,11346.0,11577.900390625,11000.0,11000.0,8153,2020-12-14
2020-12-21,12507.5634765625,12514.150390625,12800.0,11499.900390625,11575.0,46395,2020-12-21
2020-12-28,11960.5498046875,11966.849609375,12800.0,11870.0,12700.0,9849,2020-12-28
2021-01-04,11802.234375,11808.4501953125,12350.0,11430.0,11980.0,36504,2021-01-04
2021-01-11,11927.91796875,11934.2001953125,12349.900390625,11725.9501953125,11881.0,18471,2021-01-11
2021-01-18,11877.09375,11883.349609375,12320.0,11702.0,11811.0,6479,2021-01-18
