Date,Adj Close_PNGJL.NS,Close_PNGJL.NS,High_PNGJL.NS,Low_PNGJL.NS,Open_PNGJL.NS,Volume_PNGJL.NS,Date
2024-09-16,731.4000244140625,731.4000244140625,848.0,681.0999755859375,830.0,33759139,2024-09-16
2024-09-23,766.75,766.75,835.0,727.0499877929688,745.0,12384094,2024-09-23
2024-09-30,756.7999877929688,756.7999877929688,794.5999755859375,742.0,767.7999877929688,4181556,2024-09-30
2024-10-07,744.2000122070312,744.2000122070312,769.0,695.0,756.7999877929688,3773415,2024-10-07
2024-10-14,748.7999877929688,748.7999877929688,787.0499877929688,729.25,767.0,2167816,2024-10-14
2024-10-21,699.3499755859375,699.3499755859375,759.6500244140625,685.0,752.7000122070312,1963189,2024-10-21
2024-10-28,722.4500122070312,722.4500122070312,729.7999877929688,690.5499877929688,701.9500122070312,1270561,2024-10-28
2024-11-04,721.2000122070312,721.2000122070312,758.9000244140625,706.5999755859375,722.9500122070312,1336997,2024-11-04
2024-11-11,688.5499877929688,688.5499877929688,730.0,685.0,726.0,1348158,2024-11-11
2024-11-18,614.0999755859375,614.0999755859375,695.8499755859375,611.0,695.7999877929688,1788217,2024-11-18
2024-11-25,681.2000122070312,681.2000122070312,688.5,628.0,628.7000122070312,2059682,2024-11-25
2024-12-02,769.2000122070312,769.2000122070312,778.0,675.0499877929688,676.9500122070312,5249039,2024-12-02
2024-12-09,734.5999755859375,734.5999755859375,830.0,719.0,780.0,8411786,2024-12-09
2024-12-16,706.4000244140625,706.4000244140625,741.5,700.0,739.7999877929688,2636324,2024-12-16
2024-12-23,696.4500122070312,696.4500122070312,715.0,680.7000122070312,713.2000122070312,1231752,2024-12-23
2024-12-30,690.9000244140625,690.9000244140625,703.8499755859375,660.0,702.0,2587592,2024-12-30
2025-01-06,636.9000244140625,636.9000244140625,699.0,630.0,699.0,2590230,2025-01-06
2025-01-13,636.4000244140625,636.4000244140625,643.0,591.5499877929688,620.1500244140625,2756495,2025-01-13
2025-01-20,566.3499755859375,566.3499755859375,639.7999877929688,565.0,639.7999877929688,1648793,2025-01-20
2025-01-27,586.0,586.0,621.25,496.1000061035156,565.0,2869302,2025-01-27
2025-02-03,559.7000122070312,559.7000122070312,598.4500122070312,556.0,576.0499877929688,1440865,2025-02-03
2025-02-10,611.75,611.75,639.9500122070312,505.54998779296875,561.0,3919074,2025-02-10
2025-02-17,560.0499877929688,560.0499877929688,606.5999755859375,538.2999877929688,604.0499877929688,2296175,2025-02-17
2025-02-24,537.9500122070312,537.9500122070312,574.0,524.9000244140625,543.0999755859375,1022833,2025-02-24
2025-03-03,538.4500122070312,538.4500122070312,557.2000122070312,518.1500244140625,551.0,1281868,2025-03-03
2025-03-10,503.20001220703125,503.20001220703125,546.0,495.8500061035156,546.0,1104472,2025-03-10
2025-03-17,533.4000244140625,533.4000244140625,543.0499877929688,491.0,510.0,1246993,2025-03-17
2025-03-24,505.6499938964844,505.6499938964844,558.75,503.6000061035156,543.0499877929688,1906040,2025-03-24
2025-03-31,526.4500122070312,526.4500122070312,547.7000122070312,504.0,505.6499938964844,1199658,2025-03-31
2025-04-07,532.5499877929688,532.5499877929688,539.25,473.79998779296875,473.79998779296875,905656,2025-04-07
2025-04-14,544.25,544.25,562.9500122070312,540.0,545.0,721125,2025-04-14
2025-04-21,513.3499755859375,513.3499755859375,558.9000244140625,509.0,554.7999877929688,1238123,2025-04-21
2025-04-28,500.75,500.75,522.5,498.54998779296875,515.0999755859375,926991,2025-04-28
2025-05-05,518.9500122070312,518.9500122070312,547.6500244140625,506.0,516.0,1933937,2025-05-05
2025-05-12,543.8499755859375,543.8499755859375,575.0,521.0,539.7000122070312,2212184,2025-05-12
2025-05-19,534.25,534.25,573.0,531.9500122070312,545.7000122070312,1199931,2025-05-19
2025-05-26,548.5,548.5,556.0,539.2999877929688,540.0,682695,2025-05-26
2025-06-02,555.5,555.5,567.0,541.0,550.0,862519,2025-06-02
2025-06-09,593.7000122070312,593.7000122070312,618.8499755859375,558.0499877929688,559.9000244140625,2911500,2025-06-09
2025-06-16,566.2999877929688,566.2999877929688,595.75,559.4000244140625,593.7000122070312,1055279,2025-06-16
2025-06-23,598.4500122070312,598.4500122070312,623.5499877929688,547.25,560.0,1749137,2025-06-23
2025-06-30,594.75,594.75,616.5,578.5499877929688,599.9000244140625,1618561,2025-06-30
2025-07-07,587.5,587.5,621.2999877929688,586.0999755859375,601.2000122070312,1581442,2025-07-07
2025-07-14,600.0,600.0,604.5,583.1500244140625,588.9500122070312,488799,2025-07-14
