Date,Adj Close_V2RETAIL.NS,Close_V2RETAIL.NS,High_V2RETAIL.NS,Low_V2RETAIL.NS,Open_V2RETAIL.NS,Volume_V2RETAIL.NS,Date
2020-07-13,48.95000076293945,48.95000076293945,51.29999923706055,45.599998474121094,50.400001525878906,345144,2020-07-13
2020-07-20,48.79999923706055,48.79999923706055,52.20000076293945,47.29999923706055,50.0,183087,2020-07-20
2020-07-27,45.650001525878906,45.650001525878906,49.75,45.0,48.0,252400,2020-07-27
2020-08-03,44.650001525878906,44.650001525878906,46.95000076293945,44.25,46.0,278397,2020-08-03
2020-08-10,53.95000076293945,53.95000076293945,54.0,43.0,45.0,1796803,2020-08-10
2020-08-17,56.099998474121094,56.099998474121094,57.75,52.20000076293945,56.849998474121094,785467,2020-08-17
2020-08-24,59.099998474121094,59.099998474121094,62.95000076293945,57.0,57.0,1283355,2020-08-24
2020-08-31,55.0,55.0,61.0,53.349998474121094,60.599998474121094,331010,2020-08-31
2020-09-07,53.25,53.25,55.650001525878906,50.5,54.29999923706055,143205,2020-09-07
2020-09-14,52.849998474121094,52.849998474121094,57.0,52.5,53.29999923706055,206814,2020-09-14
2020-09-21,49.599998474121094,49.599998474121094,55.45000076293945,47.70000076293945,53.400001525878906,242364,2020-09-21
2020-09-28,50.29999923706055,50.29999923706055,53.70000076293945,49.20000076293945,50.79999923706055,173016,2020-09-28
2020-10-05,49.70000076293945,49.70000076293945,51.900001525878906,49.20000076293945,50.29999923706055,93795,2020-10-05
2020-10-12,47.45000076293945,47.45000076293945,50.400001525878906,47.099998474121094,50.349998474121094,96347,2020-10-12
2020-10-19,49.650001525878906,49.650001525878906,50.29999923706055,46.70000076293945,47.70000076293945,87716,2020-10-19
2020-10-26,46.0,46.0,50.25,45.04999923706055,50.25,111387,2020-10-26
2020-11-02,48.54999923706055,48.54999923706055,48.54999923706055,44.5,46.849998474121094,164016,2020-11-02
2020-11-09,56.20000076293945,56.20000076293945,56.20000076293945,46.54999923706055,50.25,391823,2020-11-09
2020-11-16,66.44999694824219,66.44999694824219,66.44999694824219,53.54999923706055,53.54999923706055,929113,2020-11-16
2020-11-23,84.6500015258789,84.6500015258789,84.6500015258789,69.75,69.75,1928260,2020-11-23
2020-11-30,93.05000305175781,93.05000305175781,99.0,84.6500015258789,84.6500015258789,1107451,2020-11-30
2020-12-07,100.6500015258789,100.6500015258789,104.4000015258789,84.0,88.4000015258789,1461880,2020-12-07
2020-12-14,104.25,104.25,106.1500015258789,94.0,103.69999694824219,450474,2020-12-14
2020-12-21,96.69999694824219,96.69999694824219,107.9000015258789,94.0999984741211,104.0,278808,2020-12-21
2020-12-28,99.69999694824219,99.69999694824219,102.94999694824219,96.0,99.8499984741211,178811,2020-12-28
2021-01-04,97.9000015258789,97.9000015258789,101.5,96.0,101.4000015258789,167785,2021-01-04
2021-01-11,120.05000305175781,120.05000305175781,120.05000305175781,97.5,99.1500015258789,701882,2021-01-11
2021-01-18,117.1500015258789,117.1500015258789,126.05000305175781,114.0,125.0,335554,2021-01-18
2021-01-25,114.4000015258789,114.4000015258789,121.75,103.6500015258789,121.75,117489,2021-01-25
2021-02-01,145.9499969482422,145.9499969482422,145.9499969482422,114.0,114.0,944987,2021-02-01
2021-02-08,143.9499969482422,143.9499969482422,153.1999969482422,135.6999969482422,153.1999969482422,720857,2021-02-08
2021-02-15,143.0,143.0,153.10000610351562,141.3000030517578,145.0,388512,2021-02-15
2021-02-22,135.60000610351562,135.60000610351562,144.75,132.10000610351562,144.0,126362,2021-02-22
2021-03-01,146.25,146.25,154.6999969482422,132.0,132.0,940363,2021-03-01
2021-03-08,138.8000030517578,138.8000030517578,151.3000030517578,137.75,146.25,177407,2021-03-08
2021-03-15,125.9000015258789,125.9000015258789,139.0,119.6500015258789,138.0,255591,2021-03-15
2021-03-22,125.69999694824219,125.69999694824219,136.8000030517578,123.05000305175781,125.94999694824219,183612,2021-03-22
2021-03-29,132.10000610351562,132.10000610351562,132.10000610351562,118.25,125.69999694824219,133158,2021-03-29
2021-04-05,127.80000305175781,127.80000305175781,141.9499969482422,124.5999984741211,138.6999969482422,286823,2021-04-05
2021-04-12,109.19999694824219,109.19999694824219,127.80000305175781,107.0999984741211,127.80000305175781,264081,2021-04-12
2021-04-19,106.5999984741211,106.5999984741211,108.9000015258789,99.44999694824219,106.69999694824219,221938,2021-04-19
2021-04-26,106.44999694824219,106.44999694824219,117.55000305175781,105.5999984741211,109.94999694824219,250999,2021-04-26
