Date,Adj Close_AARTIPHARM.NS,Close_AARTIPHARM.NS,High_AARTIPHARM.NS,Low_AARTIPHARM.NS,Open_AARTIPHARM.NS,Volume_AARTIPHARM.NS,Date
2023-01-30,257.20611572265625,259.5,314.8500061035156,234.8000030517578,299.8999938964844,2703156,2023-01-30
2023-02-06,310.2827453613281,313.04998779296875,331.1000061035156,266.20001220703125,272.45001220703125,2790434,2023-02-06
2023-02-13,300.32159423828125,303.0,337.8999938964844,287.95001220703125,318.0,1303187,2023-02-13
2023-02-20,311.422607421875,314.20001220703125,324.0,302.54998779296875,314.0,1095880,2023-02-20
2023-02-27,297.3481140136719,300.0,313.6499938964844,296.3999938964844,310.0,707574,2023-02-27
2023-03-06,300.32159423828125,303.0,309.8999938964844,294.0,301.0,638935,2023-03-06
2023-03-13,283.3727722167969,285.8999938964844,307.6499938964844,283.79998779296875,304.0,402651,2023-03-13
2023-03-20,282.6293640136719,285.1499938964844,299.3500061035156,276.04998779296875,281.29998779296875,1314793,2023-03-20
2023-03-27,273.41162109375,275.8500061035156,285.75,269.0,285.1499938964844,973125,2023-03-27
2023-04-03,284.9586181640625,287.5,292.54998779296875,271.54998779296875,277.0,650601,2023-04-03
2023-04-10,316.1801452636719,319.0,324.70001220703125,292.1000061035156,303.29998779296875,2803664,2023-04-10
2023-04-17,361.0797119140625,364.29998779296875,384.0,320.3999938964844,328.0,3032736,2023-04-17
2023-04-24,361.2283935546875,364.45001220703125,380.8999938964844,345.8500061035156,364.29998779296875,921636,2023-04-24
2023-05-01,392.1030578613281,395.6000061035156,404.95001220703125,364.45001220703125,364.45001220703125,1347379,2023-05-01
2023-05-08,405.0376892089844,408.6499938964844,421.0,374.0,399.8999938964844,1227973,2023-05-08
2023-05-15,349.4335632324219,352.54998779296875,390.95001220703125,343.95001220703125,380.0,1394726,2023-05-15
2023-05-22,346.06365966796875,349.1499938964844,362.6000061035156,336.0,348.20001220703125,614528,2023-05-22
2023-05-29,360.8319396972656,364.04998779296875,373.95001220703125,342.5,349.79998779296875,612469,2023-05-29
2023-06-05,391.11187744140625,394.6000061035156,404.25,360.54998779296875,365.1000061035156,994561,2023-06-05
2023-06-12,390.5172119140625,394.0,425.0,384.29998779296875,398.6000061035156,1075106,2023-06-12
2023-06-19,379.9117431640625,383.29998779296875,404.70001220703125,380.8999938964844,399.6499938964844,1078010,2023-06-19
2023-06-26,367.67095947265625,370.95001220703125,403.20001220703125,369.0,385.95001220703125,652396,2023-06-26
2023-07-03,357.1150817871094,360.29998779296875,378.1499938964844,356.20001220703125,375.0,822494,2023-07-03
2023-07-10,337.8865966796875,340.8999938964844,362.95001220703125,327.5,345.1499938964844,1410823,2023-07-10
2023-07-17,334.3679504394531,337.3500061035156,349.0,320.29998779296875,337.5,1118295,2023-07-17
2023-07-24,345.02294921875,348.1000061035156,353.20001220703125,334.04998779296875,338.54998779296875,980976,2023-07-24
2023-07-31,348.59112548828125,351.70001220703125,358.79998779296875,341.6499938964844,341.6499938964844,1135995,2023-07-31
2023-08-07,340.017578125,343.04998779296875,357.8999938964844,330.04998779296875,356.0,1212351,2023-08-07
2023-08-14,356.8672790527344,360.04998779296875,371.6000061035156,340.04998779296875,342.79998779296875,1396777,2023-08-14
2023-08-21,386.55255126953125,390.0,398.0,357.54998779296875,362.1000061035156,2129559,2023-08-21
2023-08-28,385.5614013671875,389.0,415.0,386.0,394.6499938964844,1767422,2023-08-28
2023-09-04,446.22039794921875,450.20001220703125,457.0,388.04998779296875,394.79998779296875,2799908,2023-09-04
2023-09-11,465.25067138671875,469.3999938964844,474.95001220703125,420.54998779296875,455.0,1649753,2023-09-11
2023-09-18,428.1813049316406,432.0,476.04998779296875,423.29998779296875,473.95001220703125,828641,2023-09-18
2023-09-25,457.8665466308594,461.95001220703125,466.20001220703125,430.0,436.20001220703125,564836,2023-09-25
2023-10-02,420.69805908203125,424.45001220703125,465.0,423.29998779296875,461.95001220703125,801830,2023-10-02
2023-10-09,415.0484313964844,418.75,429.29998779296875,413.25,423.0,786922,2023-10-09
2023-10-16,392.69775390625,396.20001220703125,425.95001220703125,393.04998779296875,423.0,586295,2023-10-16
2023-10-23,398.4960021972656,402.04998779296875,406.0,371.1000061035156,396.95001220703125,516614,2023-10-23
2023-10-30,388.0392761230469,391.5,409.04998779296875,380.45001220703125,405.04998779296875,308467,2023-10-30
2023-11-06,389.8729553222656,393.3500061035156,418.45001220703125,380.04998779296875,395.0,908852,2023-11-06
2023-11-13,402.361572265625,405.95001220703125,408.0,388.3500061035156,400.0,499779,2023-11-13
2023-11-20,403.40228271484375,407.0,412.95001220703125,392.0,405.95001220703125,447251,2023-11-20
2023-11-27,421.7387390136719,425.5,431.5,401.29998779296875,407.0,1223503,2023-11-27
2023-12-04,462.6241455078125,466.75,497.0,433.20001220703125,448.0,4108560,2023-12-04
2023-12-11,470.90032958984375,475.1000061035156,495.0,458.54998779296875,468.79998779296875,1149920,2023-12-11
2023-12-18,496.76959228515625,501.20001220703125,513.7000122070312,466.04998779296875,496.0,1779498,2023-12-18
2023-12-25,499.9908447265625,504.45001220703125,535.3499755859375,498.1000061035156,501.20001220703125,1276229,2023-12-25
2024-01-01,484.3800964355469,488.70001220703125,517.3499755859375,485.54998779296875,508.3999938964844,1016030,2024-01-01
2024-01-08,529.4779052734375,534.2000122070312,560.0,489.45001220703125,496.04998779296875,2384534,2024-01-08
2024-01-15,523.9769287109375,528.6500244140625,534.2000122070312,493.29998779296875,534.2000122070312,595579,2024-01-15
2024-01-22,529.0318603515625,533.75,555.0,528.6500244140625,528.6500244140625,743821,2024-01-22
2024-01-29,511.9839172363281,516.5499877929688,539.7999877929688,510.0,536.9000244140625,852328,2024-01-29
2024-02-05,506.38385009765625,510.8999938964844,566.9500122070312,500.95001220703125,524.0,1707465,2024-02-05
2024-02-12,531.658447265625,536.4000244140625,557.9500122070312,492.25,508.0,1026767,2024-02-12
2024-02-19,512.864501953125,515.4500122070312,545.0,510.70001220703125,545.0,501103,2024-02-19
2024-02-26,490.9748229980469,493.45001220703125,525.5,477.0,515.5,889663,2024-02-26
2024-03-04,453.6131896972656,455.8999938964844,497.54998779296875,445.04998779296875,497.54998779296875,1094345,2024-03-04
2024-03-11,441.922119140625,444.1499938964844,464.3999938964844,399.54998779296875,456.1000061035156,1565345,2024-03-11
2024-03-18,458.2398376464844,460.54998779296875,472.3500061035156,432.8500061035156,441.20001220703125,877300,2024-03-18
2024-03-25,432.7682800292969,434.95001220703125,462.8999938964844,432.04998779296875,460.54998779296875,1023779,2024-03-25
2024-04-01,448.88702392578125,451.1499938964844,466.70001220703125,446.95001220703125,462.0,760808,2024-04-01
2024-04-08,447.39453125,449.6499938964844,459.0,435.04998779296875,454.0,518172,2024-04-08
2024-04-15,496.2979736328125,498.79998779296875,509.1000061035156,430.0,432.04998779296875,1321324,2024-04-15
2024-04-22,518.9338989257812,521.5499877929688,542.5,500.0,500.0,1331711,2024-04-22
