Date,Adj Close_MEDIASSIST.NS,Close_MEDIASSIST.NS,High_MEDIASSIST.NS,Low_MEDIASSIST.NS,Open_MEDIASSIST.NS,Volume_MEDIASSIST.NS,Date
2024-01-22,461.4839172363281,464.29998779296875,518.0,430.54998779296875,460.0,20608191,2024-01-22
2024-01-29,483.05230712890625,486.0,489.95001220703125,436.1000061035156,467.0,4987579,2024-01-29
2024-02-05,520.076416015625,523.25,559.75,490.0,492.6499938964844,4610810,2024-02-05
2024-02-12,490.5565185546875,493.54998779296875,539.7000122070312,472.0,526.9000244140625,2833495,2024-02-12
2024-02-19,510.6340026855469,513.75,520.0,458.75,494.0,2229106,2024-02-19
2024-02-26,506.7576599121094,509.8500061035156,544.4500122070312,493.6000061035156,502.1000061035156,2788915,2024-02-26
2024-03-04,496.8183288574219,499.8500061035156,515.9500122070312,488.0,515.9500122070312,804037,2024-03-04
2024-03-11,454.0294189453125,456.79998779296875,502.45001220703125,445.04998779296875,499.8500061035156,1120758,2024-03-11
2024-03-18,477.1383972167969,480.04998779296875,484.04998779296875,443.8999938964844,458.6499938964844,1114331,2024-03-18
2024-03-25,502.5831298828125,505.6499938964844,510.0,470.29998779296875,480.04998779296875,426829,2024-03-25
2024-04-01,553.1743774414062,556.5499877929688,564.0,485.70001220703125,504.0,2156388,2024-04-01
2024-04-08,506.7576599121094,509.8500061035156,553.9500122070312,505.5,553.9500122070312,723048,2024-04-08
2024-04-15,480.5674743652344,483.5,510.0,480.25,500.0,760532,2024-04-15
2024-04-22,505.56494140625,508.6499938964844,510.0,479.1499938964844,488.8999938964844,839381,2024-04-22
2024-04-29,508.9443054199219,512.0499877929688,538.7000122070312,501.1499938964844,504.0,659895,2024-04-29
2024-05-06,482.0086975097656,484.95001220703125,519.0,481.3500061035156,512.0499877929688,446426,2024-05-06
2024-05-13,486.332275390625,489.29998779296875,520.0,478.5,484.8999938964844,1013326,2024-05-13
2024-05-20,495.22802734375,498.25,543.3499755859375,489.29998779296875,489.29998779296875,1618761,2024-05-20
2024-05-27,488.4692687988281,491.45001220703125,504.04998779296875,482.5,500.0,538397,2024-05-27
2024-06-03,507.8013000488281,510.8999938964844,520.0,437.8999938964844,512.5,1399562,2024-06-03
2024-06-10,557.7465209960938,561.1500244140625,586.9500122070312,512.7999877929688,512.7999877929688,2535963,2024-06-10
2024-06-17,579.513671875,583.0499877929688,605.0,561.1500244140625,561.1500244140625,1253958,2024-06-17
2024-06-24,545.918701171875,549.25,601.4000244140625,526.0,587.4000244140625,1516089,2024-06-24
