Date,Adj Close_SUNPHARMA.NS,Close_SUNPHARMA.NS,High_SUNPHARMA.NS,Low_SUNPHARMA.NS,Open_SUNPHARMA.NS,Volume_SUNPHARMA.NS,Date
2020-07-13,477.3502197265625,503.6000061035156,509.54998779296875,490.6000061035156,494.20001220703125,25566184,2020-07-13
2020-07-20,460.2884216308594,485.6000061035156,501.8999938964844,471.6000061035156,501.8999938964844,59658630,2020-07-20
2020-07-27,503.98553466796875,531.7000122070312,541.0,469.0,484.8500061035156,79350070,2020-07-27
2020-08-03,498.53515625,525.9500122070312,541.4500122070312,516.7999877929688,534.0999755859375,66422121,2020-08-03
2020-08-10,503.6537170410156,531.3499755859375,550.7999877929688,519.0499877929688,526.0,51967726,2020-08-10
2020-08-17,504.6015319824219,532.3499755859375,538.7000122070312,521.0499877929688,536.0999755859375,32347915,2020-08-17
2020-08-24,527.7852783203125,555.75,564.75,522.25,538.6500244140625,52877925,2020-08-24
2020-08-31,486.6641540527344,512.4500122070312,561.0,506.20001220703125,560.6500244140625,65985916,2020-08-31
2020-09-07,480.1112976074219,505.54998779296875,518.2000122070312,493.6000061035156,516.0,39134150,2020-09-07
2020-09-14,497.0155944824219,523.3499755859375,535.0,494.0,505.54998779296875,65452447,2020-09-14
2020-09-21,465.0113830566406,489.6499938964844,528.25,483.0,523.7999877929688,49120014,2020-09-21
2020-09-28,481.393310546875,506.8999938964844,517.8499755859375,488.5,495.0,40528600,2020-09-28
2020-10-05,487.0914611816406,512.9000244140625,529.2999877929688,503.79998779296875,507.0,46576576,2020-10-05
2020-10-12,462.3997497558594,486.8999938964844,519.9500122070312,485.25,514.9000244140625,39275314,2020-10-12
2020-10-19,460.1205749511719,484.5,494.5,480.3999938964844,489.95001220703125,30986563,2020-10-19
2020-10-26,442.3139953613281,465.75,487.3999938964844,452.25,487.3999938964844,38893805,2020-10-26
2020-11-02,483.5301513671875,509.1499938964844,518.25,459.04998779296875,467.8999938964844,96120492,2020-11-02
2020-11-09,488.1361389160156,514.0,518.0,489.0,512.5,56420155,2020-11-09
2020-11-16,477.9270324707031,503.25,523.4000244140625,496.0,508.45001220703125,33332641,2020-11-16
2020-11-23,485.90435791015625,511.6499938964844,526.0,501.0,504.0,49149971,2020-11-23
2020-11-30,540.4159545898438,569.0499877929688,572.9000244140625,511.6499938964844,511.6499938964844,65145655,2020-11-30
2020-12-07,539.5137939453125,568.0999755859375,591.5,560.0999755859375,570.3499755859375,56774258,2020-12-07
2020-12-14,546.066650390625,575.0,586.2999877929688,568.0,568.3499755859375,33580385,2020-12-14
2020-12-21,560.7393798828125,590.4500122070312,595.0,539.7000122070312,573.7999877929688,33172925,2020-12-21
2020-12-28,566.2473754882812,596.25,599.75,581.5,599.0,42384574,2020-12-28
2021-01-04,589.56201171875,620.7999877929688,622.7999877929688,595.2000122070312,600.0,41548654,2021-01-04
2021-01-11,573.8922119140625,604.2999877929688,628.0,596.4000244140625,623.7000122070312,35569611,2021-01-11
2021-01-18,546.2565307617188,575.2000122070312,607.3499755859375,570.5999755859375,604.0999755859375,28236014,2021-01-18
2021-01-25,556.703125,586.2000122070312,600.0,550.4000244140625,577.0999755859375,49087029,2021-01-25
2021-02-01,602.8101806640625,634.75,648.4000244140625,579.5999755859375,596.0,71107004,2021-02-01
2021-02-08,595.5925903320312,627.1500244140625,654.4000244140625,614.0999755859375,640.9000244140625,46081332,2021-02-08
2021-02-15,581.7833251953125,607.2999877929688,637.2999877929688,601.2000122070312,632.0,31084604,2021-02-15
2021-02-22,569.6167602539062,594.5999755859375,621.3499755859375,590.0,608.0,37856942,2021-02-22
2021-03-01,585.5194091796875,611.2000122070312,636.75,597.0499877929688,600.0,34336054,2021-03-01
2021-03-08,587.8184204101562,613.5999755859375,629.1500244140625,607.5,611.5,18680183,2021-03-08
2021-03-15,554.001708984375,578.2999877929688,614.0,562.0999755859375,614.0,27612480,2021-03-15
2021-03-22,562.5277709960938,587.2000122070312,597.0,571.5,578.5999755859375,30147953,2021-03-22
2021-03-29,585.0883178710938,610.75,612.7000122070312,587.2000122070312,587.2000122070312,15941290,2021-03-29
2021-04-05,609.9957885742188,636.75,642.0,592.75,611.7000122070312,37534130,2021-04-05
2021-04-12,618.9050903320312,646.0499877929688,650.0,615.2000122070312,639.0,41021660,2021-04-12
2021-04-19,611.1453247070312,637.9500122070312,659.5,630.1500244140625,644.0,44135086,2021-04-19
2021-04-26,626.9522094726562,654.4500122070312,666.5999755859375,631.0,644.0,34260042,2021-04-26
2021-05-03,650.901611328125,679.4500122070312,696.7000122070312,642.0,653.9500122070312,55088846,2021-05-03
2021-05-10,662.3974609375,691.4500122070312,721.8499755859375,683.5999755859375,688.0,39786429,2021-05-10
2021-05-17,661.3917236328125,690.4000244140625,706.75,680.0499877929688,688.0,27804695,2021-05-17
