Date,Adj Close_KPITTECH.NS,Close_KPITTECH.NS,High_KPITTECH.NS,Low_KPITTECH.NS,Open_KPITTECH.NS,Volume_KPITTECH.NS,Date
2020-07-13,67.07748413085938,68.4000015258789,72.5,64.5,66.5,2438558,2020-07-13
2020-07-20,66.29295349121094,67.5999984741211,69.5,65.0,68.6500015258789,1673880,2020-07-20
2020-07-27,63.056766510009766,64.30000305175781,68.80000305175781,63.70000076293945,68.5,2046941,2020-07-27
2020-08-03,77.22736358642578,78.75,81.30000305175781,63.099998474121094,65.05000305175781,6872562,2020-08-03
2020-08-10,75.36410522460938,76.8499984741211,85.69999694824219,75.19999694824219,81.5,4457883,2020-08-10
2020-08-17,80.75776672363281,82.3499984741211,84.3499984741211,75.0,75.69999694824219,2010794,2020-08-17
2020-08-24,86.78885650634766,88.5,95.8499984741211,81.94999694824219,83.94999694824219,4044383,2020-08-24
2020-08-31,82.4249038696289,84.05000305175781,92.4000015258789,67.5,90.44999694824219,2686140,2020-08-31
2020-09-07,87.18113708496094,88.9000015258789,91.75,79.0999984741211,84.9000015258789,1442904,2020-09-07
2020-09-14,105.61761474609375,107.69999694824219,114.5,90.0,90.0,12238850,2020-09-14
2020-09-21,109.19703674316406,111.3499984741211,118.5,99.0,108.75,10278555,2020-09-21
2020-09-28,122.04376220703125,124.44999694824219,127.0,109.0999984741211,113.5999984741211,6685869,2020-09-28
2020-10-05,113.75714111328125,116.0,129.6999969482422,114.0999984741211,126.69999694824219,5608908,2020-10-05
2020-10-12,108.51058197021484,110.6500015258789,123.4000015258789,107.6500015258789,116.80000305175781,4975679,2020-10-12
2020-10-19,103.3620834350586,105.4000015258789,116.4000015258789,103.75,111.69999694824219,3255965,2020-10-19
2020-10-26,92.37864685058594,94.19999694824219,106.55000305175781,93.19999694824219,105.9000015258789,2976587,2020-10-26
2020-11-02,93.65351104736328,95.5,98.9000015258789,89.75,94.5,1932070,2020-11-02
2020-11-09,102.62660217285156,104.6500015258789,112.3499984741211,92.80000305175781,97.0,4970726,2020-11-09
2020-11-16,102.18529510498047,104.19999694824219,108.4000015258789,102.19999694824219,102.3499984741211,1735199,2020-11-16
2020-11-23,104.83309936523438,106.9000015258789,107.69999694824219,99.4000015258789,104.19999694824219,1947483,2020-11-23
2020-11-30,106.00988006591797,108.0999984741211,111.0,104.19999694824219,106.9000015258789,1611717,2020-11-30
2020-12-07,106.2060317993164,108.30000305175781,118.5,107.30000305175781,110.69999694824219,3463395,2020-12-07
2020-12-14,117.3365707397461,119.6500015258789,121.44999694824219,108.05000305175781,110.5999984741211,7563843,2020-12-14
2020-12-21,116.89527130126953,119.19999694824219,126.5999984741211,104.3499984741211,119.0,11100815,2020-12-21
2020-12-28,141.11769104003906,143.89999389648438,148.64999389648438,119.30000305175781,120.0,16936255,2020-12-28
2021-01-04,137.09698486328125,139.8000030517578,148.0,133.10000610351562,145.1999969482422,7432719,2021-01-04
2021-01-11,132.9291229248047,135.5500030517578,142.39999389648438,130.6999969482422,142.0500030517578,3176267,2021-01-11
2021-01-18,132.4878387451172,135.10000610351562,143.89999389648438,131.1999969482422,136.35000610351562,4180045,2021-01-18
2021-01-25,140.03897094726562,142.8000030517578,145.0,126.80000305175781,136.1999969482422,5249312,2021-01-25
2021-02-01,130.08522033691406,132.64999389648438,142.6999969482422,132.0,142.5,4781255,2021-02-01
2021-02-08,133.0272216796875,135.64999389648438,139.6999969482422,130.10000610351562,134.0,3639428,2021-02-08
2021-02-15,130.96780395507812,133.5500030517578,136.8000030517578,130.10000610351562,135.0,2070927,2021-02-15
2021-02-22,141.80418395996094,144.60000610351562,150.0,130.25,135.64999389648438,4789163,2021-02-22
2021-03-01,135.3317413330078,138.0,147.35000610351562,135.1999969482422,147.0,2932063,2021-03-01
2021-03-08,154.06248474121094,157.10000610351562,174.0,138.75,139.0,22652968,2021-03-08
2021-03-15,154.30763244628906,157.35000610351562,168.89999389648438,145.25,157.5,9414519,2021-03-15
2021-03-22,173.038330078125,176.4499969482422,185.0,153.85000610351562,155.3000030517578,12414010,2021-03-22
2021-03-29,172.3028564453125,175.6999969482422,183.6999969482422,173.25,176.4499969482422,2891157,2021-03-29
