Date,Adj Close_LAL.NS,Close_LAL.NS,High_LAL.NS,Low_LAL.NS,Open_LAL.NS,Volume_LAL.NS,Date
2023-04-10,7.408823013305664,7.408823013305664,8.220882415771484,7.408823013305664,7.829411029815674,1239761,2023-04-10
2023-04-17,8.062352180480957,8.062352180480957,8.062352180480957,6.700294017791748,7.085293769836426,707647,2023-04-17
2023-04-24,10.281764030456543,10.281764030456543,10.281764030456543,8.214410781860352,8.463528633117676,784857,2023-04-24
2023-05-01,12.465587615966797,12.465587615966797,12.488235473632812,10.255882263183594,10.281764030456543,947301,2023-05-01
2023-05-08,12.274704933166504,12.274704933166504,13.086764335632324,10.689411163330078,12.598235130310059,1211248,2023-05-08
2023-05-15,11.863822937011719,11.863822937011719,12.886176109313965,11.64705753326416,12.886176109313965,620405,2023-05-15
2023-05-22,12.051469802856445,12.051469802856445,12.57882308959961,11.0064697265625,11.776470184326172,188914,2023-05-22
2023-05-29,12.36205768585205,12.36205768585205,12.55294132232666,11.433528900146484,11.970587730407715,354030,2023-05-29
2023-06-05,12.785881996154785,12.785881996154785,13.892352104187012,11.802351951599121,12.164705276489258,1958057,2023-06-05
2023-06-12,14.422941207885742,14.422941207885742,14.947057723999023,12.148529052734375,12.332941055297852,848824,2023-06-12
2023-06-19,13.665882110595703,13.665882110595703,15.141176223754883,13.403822898864746,14.422941207885742,646939,2023-06-19
2023-06-26,13.39735221862793,13.39735221862793,13.973235130310059,13.051176071166992,13.665882110595703,165486,2023-06-26
2023-07-03,13.235588073730469,13.235588073730469,14.037940979003906,12.941176414489746,13.581764221191406,78135,2023-07-03
2023-07-10,11.28147029876709,11.28147029876709,13.439411163330078,11.28147029876709,13.19676399230957,425307,2023-07-10
2023-07-17,12.507646560668945,12.507646560668945,12.55294132232666,10.999999046325684,10.999999046325684,160261,2023-07-17
2023-07-24,13.500882148742676,13.500882148742676,13.911764144897461,12.038529396057129,12.604704856872559,250300,2023-07-24
2023-07-31,12.93794059753418,12.93794059753418,13.584999084472656,12.527057647705078,13.500882148742676,23334,2023-07-31
2023-08-07,12.57558822631836,12.57558822631836,13.232352256774902,11.727940559387207,12.93794059753418,156412,2023-08-07
2023-08-14,13.11911678314209,13.11911678314209,13.520294189453125,12.55294132232666,12.934704780578613,462769,2023-08-14
2023-08-21,14.005587577819824,14.005587577819824,14.600881576538086,12.465587615966797,13.11911678314209,1771057,2023-08-21
2023-08-28,14.917941093444824,14.917941093444824,15.141176223754883,14.151176452636719,14.151176452636719,1841005,2023-08-28
2023-09-04,14.885587692260742,14.885587692260742,15.264117240905762,14.885587692260742,14.972941398620605,607547,2023-09-04
2023-09-11,14.558822631835938,14.558822631835938,15.076470375061035,14.429410934448242,15.011763572692871,531898,2023-09-11
2023-09-18,14.947057723999023,14.947057723999023,15.063529014587402,14.47470474243164,14.817646980285645,340183,2023-09-18
2023-09-25,14.817646980285645,14.817646980285645,14.947057723999023,14.39705753326416,14.947057723999023,681482,2023-09-25
2023-10-02,14.507058143615723,14.507058143615723,14.998823165893555,14.235294342041016,14.817646980285645,1858284,2023-10-02
