Date,Adj Close_RVTH.NS,Close_RVTH.NS,High_RVTH.NS,Low_RVTH.NS,Open_RVTH.NS,Volume_RVTH.NS,Date
2024-09-09,3197.699951171875,3197.699951171875,3275.0,3020.0,3250.0,35194,2024-09-09
2024-09-16,3365.800048828125,3365.800048828125,3639.0,3210.0,3210.0,34373,2024-09-16
2024-09-23,3358.85009765625,3358.85009765625,3670.0,3204.35009765625,3400.0,30315,2024-09-23
2024-09-30,2438.300048828125,2438.300048828125,3325.0,2416.0,3223.0,122178,2024-09-30
2024-10-07,2464.550048828125,2464.550048828125,2525.0,2300.0,2450.300048828125,10173,2024-10-07
2024-10-14,2336.949951171875,2336.949951171875,2619.449951171875,2201.5,2465.14990234375,15003,2024-10-14
2024-10-21,2107.64990234375,2107.64990234375,2379.10009765625,2076.0,2336.949951171875,12346,2024-10-21
2024-10-28,2162.39990234375,2162.39990234375,2194.39990234375,1925.0,1960.050048828125,10005,2024-10-28
2024-11-04,2153.949951171875,2153.949951171875,2270.5,2100.0,2249.0,3124,2024-11-04
2024-11-11,1970.6500244140625,1970.6500244140625,2210.0,1900.0,2050.10009765625,3033,2024-11-11
2024-11-18,1898.050048828125,1898.050048828125,2000.0,1875.0,1902.0,2517,2024-11-18
2024-11-25,1862.0999755859375,1862.0999755859375,1940.0,1810.1500244140625,1939.949951171875,6600,2024-11-25
2024-12-02,2110.0,2110.0,2131.89990234375,1820.0,1837.0,6712,2024-12-02
2024-12-09,2036.699951171875,2036.699951171875,2124.949951171875,1932.1500244140625,2040.5,3922,2024-12-09
2024-12-16,2047.199951171875,2047.199951171875,2100.0,1953.050048828125,1953.199951171875,5177,2024-12-16
2024-12-23,1997.300048828125,1997.300048828125,2148.0,1960.25,2047.199951171875,3992,2024-12-23
2024-12-30,2094.5,2094.5,2095.89990234375,1940.0,2030.800048828125,4226,2024-12-30
2025-01-06,2000.800048828125,2000.800048828125,2195.0,1965.0,2050.0,7567,2025-01-06
2025-01-13,2050.64990234375,2050.64990234375,2149.949951171875,1915.0,2000.800048828125,2565,2025-01-13
2025-01-20,1875.449951171875,1875.449951171875,2100.10009765625,1870.0,2099.0,2789,2025-01-20
2025-01-27,1882.949951171875,1882.949951171875,1897.5,1731.0,1781.699951171875,2840,2025-01-27
2025-02-03,1802.25,1802.25,1953.0,1777.75,1890.0,2734,2025-02-03
2025-02-10,1721.1500244140625,1721.1500244140625,1999.199951171875,1650.050048828125,1818.3499755859375,5121,2025-02-10
2025-02-17,1189.6500244140625,1189.6500244140625,1549.050048828125,1180.199951171875,1549.050048828125,44978,2025-02-17
2025-02-24,1037.949951171875,1037.949951171875,1199.0,1037.949951171875,1150.0,9514,2025-02-24
2025-03-03,968.4500122070312,968.4500122070312,1038.0,901.0499877929688,1037.949951171875,20159,2025-03-03
2025-03-10,978.25,978.25,1016.8499755859375,920.0999755859375,1007.0,8630,2025-03-10
2025-03-17,1008.75,1008.75,1033.0,920.0499877929688,988.0999755859375,40962,2025-03-17
2025-03-24,920.2999877929688,920.2999877929688,1039.199951171875,910.0,1008.75,12737,2025-03-24
2025-03-31,920.3499755859375,920.3499755859375,989.7999877929688,895.5,920.2999877929688,8549,2025-03-31
2025-04-07,900.0,900.0,927.9500122070312,860.0,885.0,2476,2025-04-07
2025-04-14,888.2000122070312,888.2000122070312,944.9000244140625,879.9500122070312,944.9000244140625,3011,2025-04-14
2025-04-21,860.0499877929688,860.0499877929688,916.9000244140625,853.2000122070312,908.9000244140625,6775,2025-04-21
2025-04-28,875.2000122070312,875.2000122070312,934.7000122070312,845.0,863.0,61309,2025-04-28
2025-05-05,851.9500122070312,851.9500122070312,879.75,828.0499877929688,870.0,5124,2025-05-05
2025-05-12,891.7000122070312,891.7000122070312,930.0,828.0,858.0,18093,2025-05-12
2025-05-19,888.0,888.0,915.0,860.5,890.0999755859375,6700,2025-05-19
2025-05-26,851.8499755859375,851.8499755859375,932.4000244140625,847.0,932.4000244140625,18316,2025-05-26
2025-06-02,920.0,920.0,935.0,825.5,857.0,8083,2025-06-02
2025-06-09,1091.699951171875,1091.699951171875,1113.949951171875,910.0,920.0,19797,2025-06-09
2025-06-16,986.9000244140625,986.9000244140625,1070.0,986.9000244140625,1069.9000244140625,1658,2025-06-16
2025-06-23,985.0,985.0,990.0,953.0,976.0,11391,2025-06-23
2025-06-30,977.7999877929688,977.7999877929688,1012.0,951.0,990.0,2138,2025-06-30
2025-07-07,915.0,915.0,989.0,915.0,989.0,2166,2025-07-07
2025-07-14,951.9500122070312,951.9500122070312,951.9500122070312,900.0,900.0,1168,2025-07-14
