Date,Adj Close_VOLTAMP.NS,Close_VOLTAMP.NS,High_VOLTAMP.NS,Low_VOLTAMP.NS,Open_VOLTAMP.NS,Volume_VOLTAMP.NS,Date
2020-07-13,1010.5411987304688,1047.199951171875,1065.949951171875,1020.5,1058.8499755859375,35334,2020-07-13
2020-07-20,1004.1241455078125,1040.550048828125,1108.4000244140625,1027.050048828125,1041.050048828125,132465,2020-07-20
2020-07-27,995.5838012695312,1031.699951171875,1055.5,965.9500122070312,1055.5,74037,2020-07-27
2020-08-03,1050.8297119140625,1088.949951171875,1112.0,1004.2000122070312,1035.0,67239,2020-08-03
2020-08-10,1057.102294921875,1095.449951171875,1167.0,1072.9000244140625,1088.0,95076,2020-08-10
2020-08-17,1151.4302978515625,1193.199951171875,1201.0,1086.5,1115.0,88073,2020-08-17
2020-08-24,1158.1370849609375,1200.1500244140625,1219.949951171875,1113.949951171875,1213.0,77764,2020-08-24
2020-08-31,994.2811279296875,1030.3499755859375,1200.550048828125,992.3499755859375,1190.0999755859375,158765,2020-08-31
2020-09-07,940.772216796875,974.9000244140625,1070.0,963.0,1070.0,70065,2020-09-07
2020-09-14,965.090087890625,1000.0999755859375,1093.800048828125,985.0,985.0,249459,2020-09-14
2020-09-21,942.2197265625,976.4000244140625,1019.4000244140625,960.0,1000.0,48238,2020-09-21
2020-09-28,948.4922485351562,982.9000244140625,998.9500122070312,973.0,980.0,23754,2020-09-28
2020-10-05,963.0635986328125,998.0,1009.0,976.1500244140625,987.75,38336,2020-10-05
2020-10-12,956.8875732421875,991.5999755859375,1032.0,986.0499877929688,1005.0,47369,2020-10-12
2020-10-19,955.150634765625,989.7999877929688,1011.0,982.0499877929688,1009.0,13743,2020-10-19
2020-10-26,951.2907104492188,985.7999877929688,1011.4000244140625,975.0,994.75,13138,2020-10-26
2020-11-02,980.0957641601562,1015.6500244140625,1023.9000244140625,973.0,976.5999755859375,19040,2020-11-02
2020-11-09,1002.2422485351562,1038.5999755859375,1055.0999755859375,1002.2000122070312,1020.0,50542,2020-11-09
2020-11-16,1089.429443359375,1128.949951171875,1175.0,1028.449951171875,1029.949951171875,248982,2020-11-16
2020-11-23,1138.885498046875,1180.199951171875,1210.449951171875,1099.550048828125,1140.0,102249,2020-11-23
2020-11-30,1148.776611328125,1190.449951171875,1240.0,1131.3499755859375,1180.199951171875,70252,2020-11-30
2020-12-07,1206.8209228515625,1250.5999755859375,1265.949951171875,1126.699951171875,1180.0,93188,2020-12-07
2020-12-14,1197.0745849609375,1240.5,1324.3499755859375,1209.0,1256.699951171875,148907,2020-12-14
2020-12-21,1164.07177734375,1206.300048828125,1283.0,1110.0,1240.0,61758,2020-12-21
2020-12-28,1197.8465576171875,1241.300048828125,1275.0,1191.5999755859375,1191.5999755859375,50810,2020-12-28
2021-01-04,1221.1029052734375,1265.4000244140625,1299.949951171875,1226.949951171875,1247.550048828125,63583,2021-01-04
2021-01-11,1175.265625,1217.9000244140625,1277.949951171875,1213.0,1271.75,28731,2021-01-11
2021-01-18,1177.3885498046875,1220.0999755859375,1275.0,1204.0999755859375,1242.9000244140625,33682,2021-01-18
2021-01-25,1157.9439697265625,1199.949951171875,1227.0,1179.0,1210.050048828125,11558,2021-01-25
2021-02-01,1186.31494140625,1229.3499755859375,1280.0,1170.0,1191.5,38961,2021-02-01
2021-02-08,1215.650634765625,1259.75,1355.0,1199.0999755859375,1235.5,133764,2021-02-08
2021-02-15,1127.1607666015625,1168.050048828125,1274.0999755859375,1163.3499755859375,1261.949951171875,91360,2021-02-15
2021-02-22,1109.7908935546875,1150.050048828125,1245.0,1124.8499755859375,1173.9000244140625,99064,2021-02-22
2021-03-01,1126.099365234375,1166.949951171875,1198.9000244140625,1152.0,1155.8499755859375,31179,2021-03-01
2021-03-08,1111.720947265625,1152.050048828125,1175.0,1135.9000244140625,1155.0,28621,2021-03-08
2021-03-15,1019.9982299804688,1057.0,1175.0,1016.7999877929688,1169.800048828125,50477,2021-03-15
2021-03-22,986.512939453125,1022.2999877929688,1076.199951171875,984.3499755859375,1059.0999755859375,89792,2021-03-22
2021-03-29,1043.785400390625,1081.6500244140625,1128.5,1013.5999755859375,1022.2999877929688,54301,2021-03-29
