Date,Adj Close_YUKEN.NS,Close_YUKEN.NS,High_YUKEN.NS,Low_YUKEN.NS,Open_YUKEN.NS,Volume_YUKEN.NS,Date
2021-08-30,607.0305786132812,609.8499755859375,644.9000244140625,600.0,644.9000244140625,6478,2021-08-30
2021-09-06,600.0043334960938,602.2000122070312,618.0,571.0999755859375,610.0499877929688,8346,2021-09-06
2021-09-13,587.898681640625,590.0499877929688,619.0,571.2000122070312,601.0,33266,2021-09-13
2021-09-20,580.2765502929688,582.4000244140625,610.0,569.75,594.0,24559,2021-09-20
2021-09-27,587.948486328125,590.0999755859375,608.6500244140625,562.0,582.0,30914,2021-09-27
2021-10-04,593.9265747070312,596.0999755859375,607.0,580.2999877929688,589.7000122070312,29555,2021-10-04
2021-10-11,657.7929077148438,660.2000122070312,685.0,583.0,588.0,101367,2021-10-11
2021-10-18,610.3663940429688,612.5999755859375,685.0,603.7000122070312,685.0,61607,2021-10-18
2021-10-25,600.7017822265625,602.9000244140625,629.9500122070312,570.7000122070312,615.5,74429,2021-10-25
2021-11-01,623.617919921875,625.9000244140625,633.2999877929688,593.0,600.0,11434,2021-11-01
2021-11-08,619.4332885742188,621.7000122070312,669.8499755859375,610.0,638.7999877929688,16380,2021-11-08
2021-11-15,623.667724609375,625.9500122070312,656.0,615.9000244140625,640.0,18461,2021-11-15
2021-11-22,592.2328491210938,594.4000244140625,640.9000244140625,586.5499877929688,640.0,16790,2021-11-22
2021-11-29,600.3530883789062,602.5499877929688,619.0,561.1500244140625,576.2999877929688,14183,2021-11-29
2021-12-06,594.4248046875,596.5999755859375,610.7000122070312,581.0,592.1500244140625,28714,2021-12-06
2021-12-13,569.6653442382812,571.75,600.0,569.0,595.25,8076,2021-12-13
2021-12-20,561.694580078125,563.75,584.9000244140625,542.0499877929688,565.2000122070312,12783,2021-12-20
2021-12-27,588.3470458984375,590.5,600.0,552.0,552.0,12654,2021-12-27
2022-01-03,574.597412109375,576.7000122070312,599.0,564.75,599.0,9616,2022-01-03
2022-01-10,592.83056640625,595.0,624.0,563.5,582.75,41593,2022-01-10
