Date,Adj Close_FACT.NS,Close_FACT.NS,High_FACT.NS,Low_FACT.NS,Open_FACT.NS,Volume_FACT.NS,Date
2020-07-13,47.312591552734375,47.45000076293945,48.349998474121094,45.29999923706055,46.849998474121094,334355,2020-07-13
2020-07-20,48.808250427246094,48.95000076293945,52.400001525878906,45.5,47.599998474121094,3192169,2020-07-20
2020-07-27,46.96360397338867,47.099998474121094,49.599998474121094,46.75,48.75,1519011,2020-07-27
2020-08-03,50.802459716796875,50.95000076293945,52.29999923706055,46.099998474121094,46.95000076293945,3032385,2020-08-03
2020-08-10,48.35955047607422,48.5,51.20000076293945,47.900001525878906,51.0,1195762,2020-08-10
2020-08-17,49.805355072021484,49.95000076293945,52.45000076293945,48.29999923706055,48.29999923706055,2687471,2020-08-17
2020-08-24,48.459259033203125,48.599998474121094,50.79999923706055,48.29999923706055,50.45000076293945,738348,2020-08-24
2020-08-31,46.465049743652344,46.599998474121094,49.5,46.04999923706055,48.70000076293945,566237,2020-08-31
2020-09-07,46.116065979003906,46.25,46.95000076293945,44.150001525878906,46.599998474121094,608212,2020-09-07
2020-09-14,45.866790771484375,46.0,48.0,45.75,46.54999923706055,280399,2020-09-14
2020-09-21,42.975189208984375,43.099998474121094,46.599998474121094,41.20000076293945,46.0,188382,2020-09-21
2020-09-28,46.016357421875,46.150001525878906,48.400001525878906,44.75,48.400001525878906,1006190,2020-09-28
2020-10-05,44.2215690612793,44.349998474121094,46.5,44.25,45.599998474121094,433732,2020-10-05
2020-10-12,42.32707214355469,42.45000076293945,44.95000076293945,41.5,44.25,257347,2020-10-12
2020-10-19,47.91085433959961,48.04999923706055,55.70000076293945,42.79999923706055,43.45000076293945,6007555,2020-10-19
2020-10-26,45.81693649291992,45.95000076293945,49.849998474121094,45.54999923706055,47.54999923706055,1152320,2020-10-26
2020-11-02,49.207088470458984,49.349998474121094,55.04999923706055,45.79999923706055,46.45000076293945,2714949,2020-11-02
2020-11-09,50.90216827392578,51.04999923706055,52.20000076293945,46.04999923706055,49.849998474121094,2407608,2020-11-09
2020-11-16,48.85810470581055,49.0,52.45000076293945,48.20000076293945,48.20000076293945,1052622,2020-11-16
2020-11-23,51.10158920288086,51.25,52.599998474121094,48.70000076293945,50.20000076293945,1816586,2020-11-23
2020-11-30,52.29811096191406,52.45000076293945,56.0,51.25,51.25,2887542,2020-11-30
2020-12-07,55.33927917480469,55.5,58.5,52.20000076293945,52.95000076293945,2746660,2020-12-07
2020-12-14,54.99029541015625,55.150001525878906,58.04999923706055,54.54999923706055,55.25,1560501,2020-12-14
2020-12-21,53.79376983642578,53.95000076293945,55.349998474121094,48.04999923706055,55.04999923706055,1175156,2020-12-21
2020-12-28,60.474369049072266,60.650001525878906,65.19999694824219,52.5,54.0,9069080,2020-12-28
