Date,Adj Close_DENTA.NS,Close_DENTA.NS,High_DENTA.NS,Low_DENTA.NS,Open_DENTA.NS,Volume_DENTA.NS,Date
2025-01-27,338.79998779296875,338.79998779296875,358.29998779296875,310.3999938964844,325.0,4301443,2025-01-27
2025-02-03,329.25,329.25,344.0,311.20001220703125,329.0,1058617,2025-02-03
2025-02-10,290.3999938964844,290.3999938964844,340.0,270.25,336.5,1731294,2025-02-10
2025-02-17,356.8500061035156,356.8500061035156,377.70001220703125,300.0,307.0,10711530,2025-02-17
2025-02-24,295.54998779296875,295.54998779296875,352.0,289.04998779296875,344.0,3380664,2025-02-24
2025-03-03,306.79998779296875,306.79998779296875,317.70001220703125,275.5,301.95001220703125,1891302,2025-03-03
2025-03-10,294.20001220703125,294.20001220703125,311.0,287.70001220703125,310.0,912166,2025-03-10
2025-03-17,302.45001220703125,302.45001220703125,308.54998779296875,276.0,296.8999938964844,1559023,2025-03-17
2025-03-24,286.20001220703125,286.20001220703125,313.29998779296875,280.8999938964844,306.29998779296875,1452933,2025-03-24
2025-03-31,285.45001220703125,285.45001220703125,300.0,283.0,286.20001220703125,633246,2025-03-31
2025-04-07,293.95001220703125,293.95001220703125,296.3500061035156,251.25,258.95001220703125,727170,2025-04-07
2025-04-14,302.0,302.0,310.0,295.0,297.0,560704,2025-04-14
2025-04-21,294.45001220703125,294.45001220703125,342.0,292.04998779296875,306.0,2955496,2025-04-21
2025-04-28,286.54998779296875,286.54998779296875,307.29998779296875,283.0,290.04998779296875,959557,2025-04-28
2025-05-05,277.6499938964844,277.6499938964844,296.25,270.0,288.8999938964844,860231,2025-05-05
2025-05-12,306.54998779296875,306.54998779296875,311.3999938964844,284.8500061035156,288.54998779296875,1009688,2025-05-12
2025-05-19,318.79998779296875,318.79998779296875,339.70001220703125,298.6000061035156,310.0,1734877,2025-05-19
2025-05-26,279.70001220703125,279.70001220703125,328.0,265.0,322.0,2357872,2025-05-26
2025-06-02,292.3999938964844,292.3999938964844,295.1000061035156,272.6000061035156,281.5,1100607,2025-06-02
2025-06-09,296.95001220703125,296.95001220703125,316.70001220703125,289.5,295.6000061035156,1653174,2025-06-09
2025-06-16,286.3999938964844,286.3999938964844,297.70001220703125,279.04998779296875,295.75,740627,2025-06-16
2025-06-23,292.1000061035156,292.1000061035156,305.25,280.95001220703125,285.04998779296875,917247,2025-06-23
2025-06-30,287.20001220703125,287.20001220703125,295.3999938964844,285.04998779296875,291.5,466026,2025-06-30
2025-07-07,296.29998779296875,296.29998779296875,307.6499938964844,282.1499938964844,285.0,941782,2025-07-07
2025-07-14,308.8999938964844,308.8999938964844,310.5,292.0,297.0,953206,2025-07-14
