Date,Adj Close_DEVYANI.NS,Close_DEVYANI.NS,High_DEVYANI.NS,Low_DEVYANI.NS,Open_DEVYANI.NS,Volume_DEVYANI.NS,Date
2021-08-16,118.5,118.5,140.89999389648438,117.5,140.89999389648438,217387915,2021-08-16
2021-08-23,112.0999984741211,112.0999984741211,121.25,107.55000305175781,120.5999984741211,38684442,2021-08-23
2021-08-30,126.9000015258789,126.9000015258789,129.6999969482422,112.30000305175781,113.5,48092519,2021-08-30
2021-09-06,120.3499984741211,120.3499984741211,128.4499969482422,120.05000305175781,127.1500015258789,11817535,2021-09-06
2021-09-13,115.80000305175781,115.80000305175781,122.30000305175781,114.80000305175781,117.8499984741211,36478279,2021-09-13
2021-09-20,119.69999694824219,119.69999694824219,122.0,115.05000305175781,115.5,18915341,2021-09-20
2021-09-27,115.80000305175781,115.80000305175781,120.44999694824219,115.44999694824219,120.19999694824219,9282627,2021-09-27
2021-10-04,113.4000015258789,113.4000015258789,116.8499984741211,112.0999984741211,116.5,14804059,2021-10-04
2021-10-11,112.55000305175781,112.55000305175781,117.3499984741211,112.3499984741211,113.6500015258789,15367658,2021-10-11
2021-10-18,120.25,120.25,128.39999389648438,111.8499984741211,113.5999984741211,52052999,2021-10-18
2021-10-25,122.69999694824219,122.69999694824219,124.0,114.0,121.19999694824219,15366792,2021-10-25
2021-11-01,146.5,146.5,149.25,120.9000015258789,124.0,73043326,2021-11-01
2021-11-08,160.5500030517578,160.5500030517578,168.35000610351562,144.25,149.0,64603426,2021-11-08
2021-11-15,149.85000610351562,149.85000610351562,171.0,146.4499969482422,161.8000030517578,42742959,2021-11-15
2021-11-22,147.0,147.0,157.5,146.0500030517578,151.4499969482422,29155093,2021-11-22
2021-11-29,153.6999969482422,153.6999969482422,155.8000030517578,135.5,144.3000030517578,27834033,2021-11-29
2021-12-06,188.60000610351562,188.60000610351562,194.5500030517578,147.10000610351562,154.5,84359197,2021-12-06
2021-12-13,175.64999389648438,175.64999389648438,198.89999389648438,172.85000610351562,189.8000030517578,39610408,2021-12-13
2021-12-20,167.60000610351562,167.60000610351562,181.35000610351562,166.8000030517578,172.0,19388042,2021-12-20
2021-12-27,165.0500030517578,165.0500030517578,175.1999969482422,162.4499969482422,167.0,13691949,2021-12-27
2022-01-03,186.85000610351562,186.85000610351562,192.85000610351562,166.14999389648438,166.1999969482422,29047469,2022-01-03
2022-01-10,184.89999389648438,184.89999389648438,192.39999389648438,181.5,186.39999389648438,22654210,2022-01-10
2022-01-17,183.14999389648438,183.14999389648438,197.3000030517578,179.35000610351562,185.75,25584576,2022-01-17
2022-01-24,167.60000610351562,167.60000610351562,181.5,162.0,181.0,20543440,2022-01-24
2022-01-31,178.5500030517578,178.5500030517578,186.0,167.3000030517578,170.0,21944211,2022-01-31
2022-02-07,177.4499969482422,177.4499969482422,184.6999969482422,172.5,179.89999389648438,19863589,2022-02-07
2022-02-14,165.4499969482422,165.4499969482422,176.3000030517578,160.0,174.0,18145583,2022-02-14
2022-02-21,154.5,154.5,163.9499969482422,141.0,163.64999389648438,16817370,2022-02-21
2022-02-28,156.5,156.5,169.0,149.0,154.5,15427515,2022-02-28
2022-03-07,155.5500030517578,155.5500030517578,159.8000030517578,148.64999389648438,153.85000610351562,17022793,2022-03-07
2022-03-14,160.0,160.0,161.6999969482422,152.0,156.0,9786485,2022-03-14
2022-03-21,168.35000610351562,168.35000610351562,173.89999389648438,156.85000610351562,161.0,17728381,2022-03-21
2022-03-28,173.14999389648438,173.14999389648438,177.5,165.0500030517578,168.9499969482422,10663833,2022-03-28
2022-04-04,173.89999389648438,173.89999389648438,181.8000030517578,170.0,175.39999389648438,13784186,2022-04-04
2022-04-11,172.5,172.5,174.60000610351562,167.25,173.89999389648438,5147702,2022-04-11
2022-04-18,168.25,168.25,171.4499969482422,160.0,171.0,7828957,2022-04-18
2022-04-25,172.75,172.75,175.35000610351562,164.75,166.5,9250121,2022-04-25
2022-05-02,161.14999389648438,161.14999389648438,174.6999969482422,160.39999389648438,170.85000610351562,8348908,2022-05-02
2022-05-09,152.6999969482422,152.6999969482422,161.0,142.5,161.0,11946932,2022-05-09
2022-05-16,152.6999969482422,152.6999969482422,163.6999969482422,150.5500030517578,155.0,5221962,2022-05-16
