Date,Adj Close_OAL.NS,Close_OAL.NS,High_OAL.NS,Low_OAL.NS,Open_OAL.NS,Volume_OAL.NS,Date
2020-07-13,279.43597412109375,281.8500061035156,292.0,261.0,282.95001220703125,214154,2020-07-13
2020-07-20,319.6386413574219,322.3999938964844,348.0,282.75,290.0,770847,2020-07-20
2020-07-27,340.2605285644531,343.20001220703125,370.79998779296875,317.75,328.3999938964844,410919,2020-07-27
2020-08-03,343.2348327636719,346.20001220703125,361.95001220703125,325.0,345.0,253438,2020-08-03
2020-08-10,304.8167419433594,307.45001220703125,358.0,294.0,354.0,354681,2020-08-10
2020-08-17,353.7440490722656,356.79998779296875,362.0,302.20001220703125,311.0,197988,2020-08-17
2020-08-24,324.893310546875,327.70001220703125,363.0,323.75,351.54998779296875,92834,2020-08-24
2020-08-31,320.6300964355469,323.3999938964844,335.0,288.0,332.0,82625,2020-08-31
2020-09-07,329.8009033203125,332.6499938964844,345.8999938964844,312.45001220703125,335.0,100891,2020-09-07
2020-09-14,408.02508544921875,411.54998779296875,423.70001220703125,338.04998779296875,339.95001220703125,499673,2020-09-14
2020-09-21,360.73370361328125,363.8500061035156,415.0,339.70001220703125,415.0,177993,2020-09-21
2020-09-28,341.7972717285156,344.75,380.0,340.0,365.5,71575,2020-09-28
2020-10-05,346.7048645019531,349.70001220703125,374.5,345.0,356.8999938964844,74584,2020-10-05
2020-10-12,357.412353515625,360.5,395.0,347.5,358.0,170778,2020-10-12
2020-10-19,471.4769287109375,475.54998779296875,526.9000244140625,364.0,373.0,1666497,2020-10-19
2020-10-26,453.0362854003906,456.95001220703125,503.70001220703125,435.0,475.0,196470,2020-10-26
2020-11-02,466.76763916015625,470.79998779296875,475.0,442.1499938964844,456.95001220703125,74182,2020-11-02
2020-11-09,467.7095031738281,471.75,495.5,455.25,485.0,128202,2020-11-09
2020-11-16,491.20654296875,495.45001220703125,510.8999938964844,460.25,471.25,166033,2020-11-16
2020-11-23,512.4232177734375,516.8499755859375,525.0,490.0,503.0,139637,2020-11-23
2020-11-30,560.6566162109375,565.5,617.9500122070312,516.8499755859375,516.8499755859375,267855,2020-11-30
2020-12-07,543.67529296875,546.0,585.0,542.0999755859375,581.0,80264,2020-12-07
2020-12-14,533.7676391601562,536.0499877929688,565.0,514.0,555.0,103937,2020-12-14
2020-12-21,544.422119140625,546.75,564.0,471.0,535.9500122070312,121335,2020-12-21
2020-12-28,552.4876098632812,554.8499755859375,584.25,550.0,574.0,67674,2020-12-28
2021-01-04,567.7224731445312,570.1500244140625,617.0,547.0,564.7000122070312,106333,2021-01-04
