Date,Adj Close_PNC.NS,Close_PNC.NS,High_PNC.NS,Low_PNC.NS,Open_PNC.NS,Volume_PNC.NS,Date
2020-07-13,14.800000190734863,14.800000190734863,15.649999618530273,14.0,14.0,24693,2020-07-13
2020-07-20,14.399999618530273,14.399999618530273,15.300000190734863,14.300000190734863,14.800000190734863,22840,2020-07-20
2020-07-27,14.600000381469727,14.600000381469727,16.950000762939453,13.399999618530273,14.399999618530273,109863,2020-07-27
2020-08-03,14.449999809265137,14.449999809265137,15.0,13.550000190734863,14.25,35793,2020-08-03
2020-08-10,14.350000381469727,14.350000381469727,15.0,13.899999618530273,14.25,15692,2020-08-10
2020-08-17,17.549999237060547,17.549999237060547,18.200000762939453,13.0,14.5,314665,2020-08-17
2020-08-24,16.649999618530273,16.649999618530273,18.950000762939453,16.600000381469727,17.850000381469727,124159,2020-08-24
2020-08-31,15.800000190734863,15.800000190734863,19.0,15.199999809265137,16.850000381469727,49222,2020-08-31
2020-09-07,14.5,14.5,16.0,14.100000381469727,15.800000190734863,37923,2020-09-07
2020-09-14,14.300000190734863,14.300000190734863,15.550000190734863,14.050000190734863,15.550000190734863,39926,2020-09-14
2020-09-21,14.100000381469727,14.100000381469727,14.649999618530273,12.75,14.600000381469727,37730,2020-09-21
2020-09-28,14.100000381469727,14.100000381469727,14.899999618530273,13.0,14.0,44843,2020-09-28
2020-10-05,13.5,13.5,14.399999618530273,12.949999809265137,14.399999618530273,16604,2020-10-05
2020-10-12,12.75,12.75,13.5,12.5,13.5,15596,2020-10-12
2020-10-19,13.25,13.25,14.699999809265137,12.600000381469727,12.649999618530273,76038,2020-10-19
2020-10-26,12.149999618530273,12.149999618530273,13.5,11.550000190734863,13.5,26350,2020-10-26
2020-11-02,12.300000190734863,12.300000190734863,12.899999618530273,11.0,12.0,28626,2020-11-02
2020-11-09,13.300000190734863,13.300000190734863,13.699999809265137,11.75,12.5,36874,2020-11-09
2020-11-16,13.550000190734863,13.550000190734863,14.199999809265137,12.050000190734863,12.050000190734863,27376,2020-11-16
2020-11-23,14.649999618530273,14.649999618530273,18.850000381469727,13.550000190734863,13.949999809265137,373401,2020-11-23
2020-11-30,15.600000381469727,15.600000381469727,16.5,14.149999618530273,14.649999618530273,38193,2020-11-30
2020-12-07,16.899999618530273,16.899999618530273,18.549999237060547,15.0,15.600000381469727,229545,2020-12-07
2020-12-14,16.100000381469727,16.100000381469727,17.799999237060547,15.550000190734863,17.100000381469727,50279,2020-12-14
2020-12-21,17.0,17.0,18.399999618530273,13.75,16.100000381469727,246474,2020-12-21
2020-12-28,25.0,25.0,26.850000381469727,16.649999618530273,17.850000381469727,1900494,2020-12-28
2021-01-04,22.799999237060547,22.799999237060547,26.0,22.100000381469727,26.0,277755,2021-01-04
2021-01-11,21.450000762939453,21.450000762939453,23.200000762939453,20.049999237060547,22.100000381469727,163048,2021-01-11
2021-01-18,20.700000762939453,20.700000762939453,22.649999618530273,20.299999237060547,21.950000762939453,63948,2021-01-18
2021-01-25,19.149999618530273,19.149999618530273,20.899999618530273,18.850000381469727,20.850000381469727,35982,2021-01-25
2021-02-01,19.5,19.5,21.149999618530273,18.100000381469727,19.75,60128,2021-02-01
2021-02-08,19.100000381469727,19.100000381469727,20.5,18.149999618530273,19.100000381469727,49563,2021-02-08
2021-02-15,18.100000381469727,18.100000381469727,21.0,17.299999237060547,21.0,109858,2021-02-15
2021-02-22,17.799999237060547,17.799999237060547,19.5,16.549999237060547,18.399999618530273,77232,2021-02-22
2021-03-01,20.799999237060547,20.799999237060547,21.600000381469727,17.799999237060547,18.75,645499,2021-03-01
2021-03-08,21.450000762939453,21.450000762939453,24.200000762939453,20.75,21.399999618530273,298749,2021-03-08
2021-03-15,29.899999618530273,29.899999618530273,29.899999618530273,21.200000762939453,21.649999618530273,229996,2021-03-15
2021-03-22,38.0,38.0,38.0,31.350000381469727,31.350000381469727,835428,2021-03-22
2021-03-29,43.900001525878906,43.900001525878906,43.900001525878906,38.0,38.0,57364,2021-03-29
2021-04-05,41.5,41.5,48.349998474121094,37.599998474121094,46.04999923706055,898610,2021-04-05
2021-04-12,50.29999923706055,50.29999923706055,50.29999923706055,40.5,41.0,455780,2021-04-12
2021-04-19,55.20000076293945,55.20000076293945,60.95000076293945,50.29999923706055,52.650001525878906,715899,2021-04-19
2021-04-26,47.25,47.25,54.900001525878906,47.25,52.45000076293945,638535,2021-04-26
2021-05-03,44.5,44.5,44.900001525878906,38.599998474121094,44.900001525878906,443777,2021-05-03
2021-05-10,40.599998474121094,40.599998474121094,46.45000076293945,39.25,45.900001525878906,247601,2021-05-10
2021-05-17,40.70000076293945,40.70000076293945,41.75,37.79999923706055,41.45000076293945,201212,2021-05-17
2021-05-24,40.95000076293945,40.95000076293945,42.900001525878906,39.650001525878906,41.0,180780,2021-05-24
2021-05-31,44.099998474121094,44.099998474121094,45.650001525878906,38.54999923706055,41.599998474121094,253704,2021-05-31
2021-06-07,41.95000076293945,41.95000076293945,45.75,40.5,45.75,151577,2021-06-07
2021-06-14,41.349998474121094,41.349998474121094,43.75,40.150001525878906,41.20000076293945,107983,2021-06-14
2021-06-21,41.0,41.0,43.0,40.349998474121094,41.0,100273,2021-06-21
2021-06-28,43.29999923706055,43.29999923706055,44.70000076293945,39.25,41.599998474121094,240653,2021-06-28
2021-07-05,41.099998474121094,41.099998474121094,47.70000076293945,40.5,44.0,190927,2021-07-05
2021-07-12,41.54999923706055,41.54999923706055,42.54999923706055,39.70000076293945,41.900001525878906,77651,2021-07-12
2021-07-19,39.900001525878906,39.900001525878906,43.20000076293945,39.099998474121094,41.900001525878906,121157,2021-07-19
2021-07-26,38.95000076293945,38.95000076293945,41.650001525878906,36.25,41.650001525878906,117964,2021-07-26
2021-08-02,37.400001525878906,37.400001525878906,42.5,36.54999923706055,40.5,238600,2021-08-02
2021-08-09,35.849998474121094,35.849998474121094,39.25,33.29999923706055,39.25,210014,2021-08-09
2021-08-16,34.349998474121094,34.349998474121094,38.75,33.95000076293945,37.54999923706055,48373,2021-08-16
2021-08-23,34.349998474121094,34.349998474121094,36.900001525878906,30.25,35.099998474121094,105436,2021-08-23
2021-08-30,35.599998474121094,35.599998474121094,37.5,32.150001525878906,34.20000076293945,137997,2021-08-30
2021-09-06,34.95000076293945,34.95000076293945,36.5,33.650001525878906,35.599998474121094,112116,2021-09-06
2021-09-13,39.54999923706055,39.54999923706055,43.45000076293945,34.25,35.79999923706055,310885,2021-09-13
2021-09-20,37.95000076293945,37.95000076293945,44.70000076293945,36.70000076293945,38.599998474121094,392230,2021-09-20
2021-09-27,37.650001525878906,37.650001525878906,39.95000076293945,35.5,38.79999923706055,165239,2021-09-27
