Date,Adj Close_LXCHEM.NS,Close_LXCHEM.NS,High_LXCHEM.NS,Low_LXCHEM.NS,Open_LXCHEM.NS,Volume_LXCHEM.NS,Date
2021-03-22,184.98788452148438,186.60000610351562,194.39999389648438,143.25,155.5,98819204,2021-03-22
2021-03-29,179.2875518798828,180.85000610351562,191.9499969482422,170.9499969482422,186.60000610351562,16726679,2021-03-29
2021-04-05,192.3239288330078,194.0,209.0,171.5,180.0,26125475,2021-04-05
2021-04-12,189.250732421875,190.89999389648438,196.0,175.64999389648438,186.0,8718263,2021-04-12
2021-04-19,177.65179443359375,179.1999969482422,192.39999389648438,178.1999969482422,185.0,5879449,2021-04-19
2021-04-26,206.0542755126953,207.85000610351562,217.89999389648438,178.4499969482422,181.0,23654969,2021-04-26
2021-05-03,217.6036376953125,219.5,237.85000610351562,205.0500030517578,205.39999389648438,21140347,2021-05-03
2021-05-10,217.10794067382812,219.0,233.6999969482422,218.0500030517578,221.6999969482422,10110597,2021-05-10
2021-05-17,223.00656127929688,224.9499969482422,234.64999389648438,216.0,221.89999389648438,11330305,2021-05-17
2021-05-24,217.45494079589844,219.35000610351562,244.6999969482422,219.0,226.9499969482422,18172707,2021-05-24
2021-05-31,219.09066772460938,221.0,231.9499969482422,219.60000610351562,219.60000610351562,9134731,2021-05-31
2021-06-07,222.75869750976562,224.6999969482422,231.0,220.1999969482422,222.3000030517578,9704599,2021-06-07
2021-06-14,223.70050048828125,225.64999389648438,236.0,212.6999969482422,227.0,17181522,2021-06-14
2021-06-21,220.87510681152344,222.8000030517578,230.0,219.75,221.0,5249501,2021-06-21
2021-06-28,238.6204833984375,240.6999969482422,250.6999969482422,219.60000610351562,223.8000030517578,16006016,2021-06-28
2021-07-05,262.21484375,264.5,270.5,241.14999389648438,242.3000030517578,21787098,2021-07-05
2021-07-12,260.08343505859375,262.3500061035156,273.3999938964844,261.0,267.0,8433647,2021-07-12
2021-07-19,270.8045349121094,272.6499938964844,274.45001220703125,249.5,259.8999938964844,8877663,2021-07-19
2021-07-26,259.9783020019531,261.75,266.20001220703125,251.85000610351562,266.0,8602272,2021-07-26
2021-08-02,274.2808532714844,276.1499938964844,283.0,261.75,263.8999938964844,12366210,2021-08-02
2021-08-09,337.69866943359375,340.0,345.95001220703125,270.0,277.45001220703125,49619535,2021-08-09
2021-08-16,359.84771728515625,362.29998779296875,402.8999938964844,341.20001220703125,341.3999938964844,40497047,2021-08-16
2021-08-23,417.70343017578125,420.54998779296875,420.54998779296875,357.25,367.0,32874095,2021-08-23
2021-08-30,489.3153991699219,492.6499938964844,506.79998779296875,431.0,434.3999938964844,65076534,2021-08-30
2021-09-06,513.2523193359375,516.75,528.0,475.04998779296875,498.6000061035156,20410230,2021-09-06
2021-09-13,536.146240234375,539.7999877929688,628.0,518.2999877929688,523.0,12141098,2021-09-13
2021-09-20,541.509765625,545.2000122070312,584.6500244140625,496.6000061035156,512.8499755859375,21030982,2021-09-20
2021-09-27,538.5797119140625,542.25,560.7999877929688,519.0,552.4000244140625,11060526,2021-09-27
2021-10-04,545.6316528320312,549.3499755859375,597.7999877929688,542.0,551.5,14414654,2021-10-04
