Date,Adj Close_LLOYDSENT.NS,Close_LLOYDSENT.NS,High_LLOYDSENT.NS,Low_LLOYDSENT.NS,Open_LLOYDSENT.NS,Volume_LLOYDSENT.NS,Date
2024-10-14,52.7400016784668,52.7400016784668,54.75,51.0,54.5,3222355,2024-10-14
2024-10-21,43.459999084472656,43.459999084472656,53.5,43.459999084472656,53.0,6804233,2024-10-21
2024-10-28,49.38999938964844,49.38999938964844,50.20000076293945,41.279998779296875,42.75,4643317,2024-10-28
2024-11-04,47.9900016784668,47.9900016784668,51.11000061035156,45.650001525878906,50.369998931884766,5831024,2024-11-04
2024-11-11,44.04999923706055,44.04999923706055,47.88999938964844,42.5099983215332,47.0,3646693,2024-11-11
2024-11-18,43.88999938964844,43.88999938964844,47.150001525878906,43.400001525878906,44.790000915527344,2808703,2024-11-18
2024-11-25,47.619998931884766,47.619998931884766,48.47999954223633,43.400001525878906,44.4900016784668,4147444,2024-11-25
2024-12-02,49.349998474121094,49.349998474121094,51.400001525878906,47.0,48.34000015258789,7111048,2024-12-02
2024-12-09,49.65999984741211,49.65999984741211,51.56999969482422,46.810001373291016,49.349998474121094,6062324,2024-12-09
2024-12-16,45.779998779296875,45.779998779296875,51.4900016784668,45.25,49.95000076293945,5730965,2024-12-16
2024-12-23,46.970001220703125,46.970001220703125,47.95000076293945,44.45000076293945,46.4900016784668,3257648,2024-12-23
2024-12-30,57.29999923706055,57.29999923706055,58.900001525878906,46.720001220703125,47.0,20981384,2024-12-30
2025-01-06,57.16999816894531,57.16999816894531,59.97999954223633,54.099998474121094,57.9900016784668,17931958,2025-01-06
2025-01-13,55.93000030517578,55.93000030517578,58.72999954223633,51.959999084472656,56.95000076293945,12318475,2025-01-13
2025-01-20,59.34000015258789,59.34000015258789,63.0,54.75,56.189998626708984,23186510,2025-01-20
2025-01-27,53.90999984741211,53.90999984741211,58.290000915527344,52.29999923706055,58.11000061035156,14712363,2025-01-27
2025-02-03,51.279998779296875,51.279998779296875,54.5,50.7400016784668,54.0,8083795,2025-02-03
2025-02-10,46.189998626708984,46.189998626708984,52.13999938964844,43.5,51.02000045776367,14817817,2025-02-10
2025-02-17,49.720001220703125,49.720001220703125,52.66999816894531,43.7400016784668,46.099998474121094,14208979,2025-02-17
2025-02-24,45.15999984741211,45.15999984741211,49.349998474121094,42.560001373291016,49.0,12404027,2025-02-24
2025-03-03,44.16999816894531,44.16999816894531,46.220001220703125,40.41999816894531,45.40999984741211,10323057,2025-03-03
2025-03-10,39.2599983215332,39.2599983215332,44.599998474121094,38.95000076293945,44.5,5233225,2025-03-10
2025-03-17,43.43000030517578,43.43000030517578,45.150001525878906,37.279998779296875,39.70000076293945,6008624,2025-03-17
2025-03-24,44.5099983215332,44.5099983215332,45.2400016784668,41.29999923706055,43.79999923706055,9219423,2025-03-24
2025-03-31,49.720001220703125,49.720001220703125,51.900001525878906,43.54999923706055,44.5099983215332,9130266,2025-03-31
2025-04-07,52.02000045776367,52.02000045776367,52.5,42.66999816894531,43.400001525878906,8068598,2025-04-07
2025-04-14,52.599998474121094,52.599998474121094,54.0,51.5,52.02000045776367,7697805,2025-04-14
2025-04-21,53.04999923706055,53.04999923706055,55.9900016784668,51.0099983215332,52.88999938964844,23948763,2025-04-21
2025-04-28,51.38999938964844,51.38999938964844,54.5,50.040000915527344,53.0,7777082,2025-04-28
2025-05-05,47.43000030517578,47.43000030517578,51.5,46.5,50.40999984741211,8116285,2025-05-05
2025-05-12,52.0,52.0,54.599998474121094,50.0,50.290000915527344,5476611,2025-05-12
2025-05-19,51.459999084472656,51.459999084472656,53.189998626708984,49.45000076293945,52.099998474121094,5548159,2025-05-19
2025-05-26,62.34000015258789,62.34000015258789,64.0,51.40999984741211,51.40999984741211,25220097,2025-05-26
2025-06-02,70.33000183105469,70.33000183105469,71.5,60.20000076293945,62.34000015258789,28694964,2025-06-02
2025-06-09,73.97000122070312,73.97000122070312,76.5,68.5,70.5,26530655,2025-06-09
2025-06-16,70.30999755859375,70.30999755859375,74.19999694824219,68.4000015258789,73.94999694824219,10433302,2025-06-16
2025-06-23,88.94000244140625,88.94000244140625,92.63999938964844,69.27999877929688,69.54000091552734,35021990,2025-06-23
2025-06-30,90.94000244140625,90.94000244140625,96.4000015258789,81.91000366210938,89.94999694824219,33061241,2025-06-30
2025-07-07,90.66000366210938,90.66000366210938,94.33999633789062,86.11000061035156,91.41000366210938,22163368,2025-07-07
2025-07-14,86.70999908447266,86.70999908447266,91.8499984741211,86.36000061035156,90.66000366210938,6922799,2025-07-14
