Date,Adj Close_SUDARSCHEM.NS,Close_SUDARSCHEM.NS,High_SUDARSCHEM.NS,Low_SUDARSCHEM.NS,Open_SUDARSCHEM.NS,Volume_SUDARSCHEM.NS,Date
2020-07-13,381.00140380859375,392.20001220703125,409.0,386.70001220703125,406.0,407440,2020-07-13
2020-07-20,379.0099182128906,390.1499938964844,401.3999938964844,388.79998779296875,394.95001220703125,581494,2020-07-20
2020-07-27,397.6617126464844,409.3500061035156,416.8999938964844,383.0,390.8999938964844,915034,2020-07-27
2020-08-03,435.6938171386719,448.5,476.5,411.1000061035156,412.0,4259326,2020-08-03
2020-08-10,405.3361511230469,417.25,447.0,415.0,438.0,1186529,2020-08-10
2020-08-17,435.4509582519531,448.25,458.5,407.1000061035156,430.0,1636628,2020-08-17
2020-08-24,460.0771484375,473.6000061035156,493.0,448.1499938964844,453.1499938964844,2651378,2020-08-24
2020-08-31,437.1995849609375,450.04998779296875,496.8999938964844,443.20001220703125,478.0,1583093,2020-08-31
2020-09-07,421.3164367675781,433.70001220703125,453.6000061035156,421.5,453.6000061035156,509593,2020-09-07
2020-09-14,508.2123718261719,523.1500244140625,538.0,436.1000061035156,437.95001220703125,3935182,2020-09-14
2020-09-21,440.55108642578125,453.5,537.0,438.1000061035156,526.0,2473028,2020-09-21
2020-09-28,464.8372497558594,478.5,497.79998779296875,451.5,460.8500061035156,1667408,2020-09-28
2020-10-05,442.97967529296875,456.0,485.0,453.0,480.20001220703125,798539,2020-10-05
2020-10-12,458.6685485839844,472.1499938964844,478.79998779296875,447.0,459.0,806239,2020-10-12
2020-10-19,473.9688415527344,487.8999938964844,497.0,469.04998779296875,473.0,854590,2020-10-19
2020-10-26,426.9993896484375,439.54998779296875,485.0,437.1499938964844,485.0,1004302,2020-10-26
2020-11-02,429.0394287109375,441.6499938964844,455.25,433.0,445.0,566834,2020-11-02
2020-11-09,441.1825256347656,454.1499938964844,482.0,442.04998779296875,444.6499938964844,717910,2020-11-09
2020-11-16,440.939697265625,453.8999938964844,463.95001220703125,440.0,455.5,771055,2020-11-16
2020-11-23,457.1628112792969,470.6000061035156,481.95001220703125,447.5,455.70001220703125,1061044,2020-11-23
2020-11-30,492.9606018066406,507.45001220703125,514.9000244140625,463.0,470.6000061035156,4756024,2020-11-30
