Symbol,Timeframe,Start,Proximal,Distal,Score,Fresh,Legout Strength,Base Count,Base Week,Leg-in Week,Leg-out Week,Zone Type,Distance
COFORGE.NS,1wk,2025-06-09,1832.0,1744.5,3,True,84.5,2,"2025-23, 2025-24",2025-22,2025-25,WIT,3.27
CENTENKA.NS,1wk,2025-06-16,499.3,474.55,3,True,21.45,2,"2025-24, 2025-25",2025-23,2025-26,WIT,2.28
BLAL.NS,1wk,2025-05-19,205.98,200.42,3,True,6.91,2,"2025-20, 2025-21",2025-19,2025-22,WIT,2.44
ESABINDIA.NS,1wk,2025-06-09,5127.5,4970.0,3,True,143.0,3,"2025-23, 2025-24, 2025-25",2025-22,2025-26,WIT,2.45
DVL.NS,1wk,2025-06-09,333.9,325.35,3,True,17.0,2,"2025-23, 2025-24",2025-22,2025-25,WIT,2.94
MAANALU.NS,1wk,2025-05-26,113.57,107.58,3,True,11.1,1,2025-21,2025-20,2025-22,WIT,4.35
KIRLPNU.NS,1wk,2025-06-09,1345.1,1280.6,3,True,100.0,2,"2025-23, 2025-24",2025-22,2025-25,WIT,4.13
GULFOILLUB.NS,1wk,2025-06-16,1202.7,1183.9,3,True,35.9,1,2025-24,2025-23,2025-25,WIT,2.31
GKWLIMITED.NS,1wk,2025-03-24,1708.3,1640.0,3,True,62.2,3,"2025-12, 2025-13, 2025-14",2025-11,2025-15,WIT,3.88
LT.NS,1wk,2025-05-05,3443.9,3284.1,3,True,91.7,1,2025-18,2025-17,2025-19,WIT,1.43
LTIM.NS,1wk,2025-05-19,5068.9,4970.2,3,True,148.0,2,"2025-20, 2025-21",2025-19,2025-22,WIT,3.46
ROTO.NS,1wk,2025-06-16,92.87,91.18,3,True,3.3,1,2025-24,2025-23,2025-25,WIT,4.46
PRINCEPIPE.NS,1wk,2025-06-16,340.3,329.1,3,True,21.45,1,2025-24,2025-23,2025-25,WIT,4.44
NEWGEN.NS,1wk,2025-04-28,1030.05,967.25,3,True,57.75,1,2025-17,2025-16,2025-18,WIT,4.59
NMDC.NS,1wk,2025-04-21,65.2,62.0,3,True,3.22,3,"2025-16, 2025-17, 2025-18",2025-15,2025-19,WIT,4.09
SOMANYCERA.NS,1wk,2025-06-16,550.5,548.05,3,True,31.45,1,2025-24,2025-23,2025-25,WIT,2.57
SULA.NS,1wk,2025-04-21,288.0,263.1,3,True,25.4,3,"2025-16, 2025-17, 2025-18",2025-15,2025-19,WIT,3.92
TATACHEM.NS,1wk,2025-05-19,887.15,851.5,3,True,51.1,2,"2025-20, 2025-21",2025-19,2025-22,WIT,4.75
TRENT.NS,1wk,2025-04-21,5154.0,5063.5,3,True,253.0,3,"2025-16, 2025-17, 2025-18",2025-15,2025-19,WIT,4.38
