SYMBOL,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE,YahooSymbol,Symbol,Company,Sector,Industry
20MICRONS.NS,EQ,06-OCT-2008,INE144J01027,5,20MICRONS.NS,20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining
360ONE.NS,EQ,19-SEP-2019,INE466L01038,1,360ONE.NS,360ONE,360 One Wam Limited,Financial Services,Asset Management
3IINFOLTD.NS,EQ,22-OCT-2021,INE748C01038,10,3IINFOLTD.NS,3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services
3MINDIA.NS,EQ,13-AUG-2004,INE470A01017,10,3MINDIA.NS,3MINDIA,3M India Limited,Industrials,Conglomerates
5PAISA.NS,EQ,16-NOV-2017,INE618L01018,10,5PAISA.NS,5PAISA,5paisa Capital Limited,Financial Services,Capital Markets
63MOONS.NS,EQ,20-JUN-2005,INE111B01023,2,63MOONS.NS,63MOONS,63 moons technologies limited,Technology,Software - Application
A2ZINFRA.NS,BE,23-DEC-2010,INE619I01012,10,A2ZINFRA.NS,A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction
AAKASH.NS,BE,29-SEP-2020,INE087Z01024,1,AAKASH.NS,AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services
AAREYDRUGS.NS,BE,06-AUG-2021,INE198H01019,10,AAREYDRUGS.NS,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AARON.NS,EQ,06-NOV-2020,INE721Z01010,10,AARON.NS,AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery
AARTECH.NS,EQ,10-JUL-2023,INE01C001026,5,AARTECH.NS,AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts
AARTIDRUGS.NS,EQ,19-SEP-2003,INE767A01016,10,AARTIDRUGS.NS,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AARTIIND.NS,EQ,08-FEB-1995,INE769A01020,5,AARTIIND.NS,AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals
AARTIPHARM.NS,EQ,30-JAN-2023,INE0LRU01027,5,AARTIPHARM.NS,AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic
AARTISURF.NS,BE,14-JUL-2020,INE09EO01013,10,AARTISURF.NS,AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals
AARVEEDEN.NS,BE,21-NOV-2006,INE273D01019,10,AARVEEDEN.NS,AARVEEDEN,Aarvee Denims and Exports Ltd.,Consumer Cyclical,Textile Manufacturing
AARVI.NS,EQ,24-JUN-2020,INE754X01016,10,AARVI.NS,AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services
ABB.NS,EQ,08-FEB-1995,INE117A01022,2,ABB.NS,ABB,ABB India Limited,Industrials,Specialty Industrial Machinery
ABBOTINDIA.NS,EQ,08-JAN-2010,INE358A01014,10,ABBOTINDIA.NS,ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic
ABDL.NS,EQ,02-JUL-2024,INE552Z01027,2,ABDL.NS,ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries
ABINFRA.NS,BE,08-NOV-2024,INE00YB01017,10,ABINFRA.NS,ABINFRA,A B INFRABUILD LIMITED,Industrials,Engineering & Construction
ABREL.NS,EQ,27-JUN-2003,INE055A01016,10,ABREL.NS,ABREL,Aditya Birla Real Estate Limited,Basic Materials,Paper & Paper Products
ABSLAMC.NS,EQ,11-OCT-2021,INE404A01024,5,ABSLAMC.NS,ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management
